word,wordcount,frequency_word,mlu_word,solo_word,final_word,initial_word,charactercount,language,totalcount,stem,uni_lemma,nb_realisations_lemma,words_lemma,sum_wordcount_lemma,mean_character_count_lemma,frequency,MLU,solo_frequency,final_frequency,initial_frequency
av,468,468,8.286324786324787,NA,80,7,2,Swedish,387670,av,of,1,av,468,2,468,8.286324786324787,0,80,7
mamma,903,903,7.039867109634551,5,179,109,5,Swedish,387670,mamm,mommy,3,"mamma, mammas, mamm",928,5,928,5.679955703211517,7,180,110
bord,21,21,6.666666666666667,3,9,NA,4,Swedish,387670,bord,table,2,"bord, borde",22,4.5,22,5.833333333333334,3,9,0
man,2533,2533,8.39755230951441,1,98,251,3,Swedish,387670,man,man,1,man,2533,3,2533,8.39755230951441,1,98,251
bok,126,126,6.666666666666667,NA,63,NA,3,Swedish,387670,bok,book,2,"bok, boken",153,4,153,7.37037037037037,0,78,0
skål,18,18,6.611111111111111,4,6,NA,4,Swedish,387670,skål,bowl,3,"skål, skålen, skåla",22,5,22,5.7592592592592595,4,8,0
mat,296,296,7.476351351351352,6,131,9,3,Swedish,387670,mat,feed,4,"mat, mata, maten, mats",342,4,342,6.443595227000399,6,139,9
mat,296,296,7.476351351351352,6,131,9,3,Swedish,387670,mat,food,4,"mat, mata, maten, mats",342,4,342,6.443595227000399,6,139,9
tröja,40,40,7.45,1,17,NA,5,Swedish,387670,tröj,sweater,1,tröja,40,5,40,7.45,1,17,0
läsa,218,218,6.86697247706422,1,32,3,4,Swedish,387670,läs,read,3,"läsa, läs, läser",223,4,223,6.066768603465851,1,33,4
din,490,490,6.963265306122449,1,42,31,3,Swedish,387670,din,you,3,"du, din, dina",17285,3,17285,6.927837917044115,63,2360,1706
säng,65,65,7.476923076923077,1,38,1,4,Swedish,387670,säng,bed,2,"säng, sängen",78,5,78,7.892307692307693,1,46,1
stol,74,74,7.864864864864865,NA,36,NA,4,Swedish,387670,stol,chair,3,"stol, stolen, stolarna",120,6,120,7.095695695695696,0,64,1
sen,732,732,8.453551912568306,2,280,83,3,Swedish,387670,sen,later,1,sen,732,3,732,8.453551912568306,2,280,83
pyjamas,13,13,6.6923076923076925,NA,8,NA,7,Swedish,387670,pyjam,pajamas,2,"pyjamas, pyjamasen",16,8,16,8.679487179487179,0,9,0
gå,605,605,8.520661157024794,NA,45,24,2,Swedish,387670,gå,walk,1,gå,605,2,605,8.520661157024794,0,45,24
dricka,150,150,6.366666666666666,2,38,4,6,Swedish,387670,drick,drink (action),3,"dricka, dricker, drick",172,6,172,5.741269841269841,2,42,13
borta,288,288,6.305555555555555,12,164,1,5,Swedish,387670,bort,all gone,2,"borta, bort",536,4.5,536,7.237455197132617,13,211,6
borta,288,288,6.305555555555555,12,164,1,5,Swedish,387670,bort,away,2,"borta, bort",536,4.5,536,7.237455197132617,13,211,6
var,1397,1397,5.534717251252684,16,7,833,3,Swedish,387670,var,where (question),3,"var, vara, vare",1772,3.6666666666666665,1772,6.40640307662077,16,86,834
uppe,233,233,7.605150214592275,NA,81,7,4,Swedish,387670,upp,up,3,"uppe, upp, uppa",1228,3.6666666666666665,1228,7.5623798206347015,1,201,32
blåsa,36,36,6.027777777777778,NA,9,NA,5,Swedish,387670,blås,blow,3,"blåsa, blåser, blås",41,5,41,6.092592592592593,0,10,1
uggla,33,33,5.151515151515151,1,23,NA,5,Swedish,387670,uggl,owl,3,"uggla, ugglerna, ugglas",35,6.333333333333333,35,10.383838383838384,1,23,0
mus,27,27,4.962962962962963,1,17,NA,3,Swedish,387670,mus,mouse,2,"mus, musen",39,4,39,5.023148148148148,2,25,0
nalle,109,109,6.238532110091743,2,44,5,5,Swedish,387670,nall,teddybear,2,"nalle, nallen",112,5.5,112,5.285932721712538,2,45,5
björn,49,49,9.224489795918368,NA,29,NA,5,Swedish,387670,björn,bear,4,"björn, björnen, björnens, björne",60,6.5,60,6.502551020408164,0,33,1
låda,27,27,7.7407407407407405,1,9,NA,4,Swedish,387670,låd,box,1,låda,27,4,27,7.7407407407407405,1,9,0
låda,27,27,7.7407407407407405,1,9,NA,4,Swedish,387670,låd,drawer,1,låda,27,4,27,7.7407407407407405,1,9,0
fågel,51,51,5.411764705882353,3,31,2,5,Swedish,387670,fågel,bird,1,fågel,51,5,51,5.411764705882353,3,31,2
ge,116,116,8.051724137931034,1,2,15,2,Swedish,387670,ge,give,1,ge,116,2,116,8.051724137931034,1,2,15
flicka,104,104,7.221153846153846,1,51,1,6,Swedish,387670,flick,girl,4,"flicka, flickorna, flickor, flick",107,6.75,107,6.055288461538462,1,52,1
tåg,69,69,6.144927536231884,2,28,4,3,Swedish,387670,tåg,train,1,tåg,69,3,69,6.144927536231884,2,28,4
god,92,92,4.478260869565218,NA,65,7,3,Swedish,387670,god,good,3,"god, godast, goda",94,4.333333333333333,94,4.159420289855072,0,66,7
upp,992,992,8.415322580645162,1,119,25,3,Swedish,387670,upp,up,3,"uppe, upp, uppa",1228,3.6666666666666665,1228,7.5623798206347015,1,201,32
stor,294,294,7.761904761904762,2,68,11,4,Swedish,387670,stor,big,2,"stor, stora",329,4.5,329,7.938095238095238,2,70,15
sked,52,52,6.6923076923076925,2,25,1,4,Swedish,387670,sked,spoon,2,"sked, skeden",66,5,66,7.667582417582418,2,35,1
när,1417,1417,10.70289343683839,2,4,252,3,Swedish,387670,när,when (question),3,"när, nära, närheten",1428,5,1428,8.767631145612796,2,5,253
mjölk,142,142,6.21830985915493,2,64,10,5,Swedish,387670,mjölk,milk,3,"mjölk, mjölken, mjölka",149,6,149,4.906103286384977,2,67,10
bröd,19,19,7.315789473684211,2,9,1,4,Swedish,387670,bröd,bread,1,bröd,19,4,19,7.315789473684211,2,9,1
varför,149,149,5.624161073825503,4,NA,113,6,Swedish,387670,varför,why,1,varför,149,6,149,5.624161073825503,4,0,113
lite,1604,1604,7.538029925187033,6,217,70,4,Swedish,387670,lit,little (description),3,"lit, lite, liten",1799,4,1799,7.816909445961815,6,236,70
vem,1113,1113,5.530098831985624,11,3,772,3,Swedish,387670,vem,who,2,"vem, vems",1119,3.5,1119,5.681716082659479,11,3,776
ut,944,944,8.373940677966102,NA,244,3,2,Swedish,387670,ut,out,1,ut,944,2,944,8.373940677966102,0,244,3
soffa,10,10,6.6,NA,8,NA,5,Swedish,387670,soff,couch,1,soffa,10,5,10,6.6,0,8,0
tack,377,377,3.013262599469496,93,171,76,4,Swedish,387670,tack,thank you,3,"tack, tacka, tackar",381,5,381,3.559976422045388,94,171,78
leka,166,166,8.240963855421686,1,17,2,4,Swedish,387670,lek,play,4,"leka, leker, lek, leks",191,4,191,8.035240963855422,1,24,4
vänta,208,208,5.336538461538462,36,25,77,5,Swedish,387670,vänt,wait,4,"vänta, vänt, väntar, väntade",216,5.5,216,7.4341346153846155,36,26,78
hjälpa,171,171,6.988304093567251,NA,8,2,6,Swedish,387670,hjälp,help,5,"hjälpa, hjälpas, hjälp, hjälper, hjälps",206,6.2,206,7.866891587944219,6,10,14
sätta,411,411,8.29683698296837,1,3,22,5,Swedish,387670,sätt,put,4,"sätta, sätt, sätter, sätts",597,5,597,7.455856102169994,3,11,107
farm,4,4,7.5,1,NA,1,4,Swedish,387670,farm,grandma,5,"farmor, farmors, farm, mormor, mormors",66,6,66,5.974660633484163,3,12,11
bort,248,248,8.169354838709678,1,47,5,4,Swedish,387670,bort,all gone,2,"borta, bort",536,4.5,536,7.237455197132617,13,211,6
bort,248,248,8.169354838709678,1,47,5,4,Swedish,387670,bort,away,2,"borta, bort",536,4.5,536,7.237455197132617,13,211,6
traktor,136,136,6.698529411764706,5,76,NA,7,Swedish,387670,trakt,tractor,1,traktor,136,7,136,6.698529411764706,5,76,0
giraffen,5,5,5,NA,5,NA,8,Swedish,387670,giraff,giraffe,2,"giraffen, giraff",21,7,21,4.84375,2,14,1
sätt,139,139,6.330935251798561,2,7,81,4,Swedish,387670,sätt,put,4,"sätta, sätt, sätter, sätts",597,5,597,7.455856102169994,3,11,107
inga,17,17,6.588235294117647,1,NA,NA,4,Swedish,387670,ing,none,5,"ingen, inga, inge, inger, ing",81,4.2,81,6.020315818635146,1,7,6
djuren,16,16,9.875,NA,2,NA,6,Swedish,387670,djur,animal,2,"djuren, djur",220,5,220,8.709558823529411,0,97,0
hämta,197,197,7.33502538071066,NA,15,13,5,Swedish,387670,hämt,get,4,"hämta, hämt, hämtar, hämtat",214,5.25,214,6.476613488034808,0,16,13
djur,204,204,7.544117647058823,NA,95,NA,4,Swedish,387670,djur,animal,2,"djuren, djur",220,5,220,8.709558823529411,0,97,0
kuckeliku,7,7,2.142857142857143,3,2,1,9,Swedish,387670,kuckeliku,cockadoodledoo,1,kuckeliku,7,9,7,2.142857142857143,3,2,1
hur,624,624,6.4743589743589745,NA,72,363,3,Swedish,387670,hur,how,1,hur,624,3,624,6.4743589743589745,0,72,363
