language,uni_lemma,item_definition,phons,fixed_phon
Hebrew,blanket,סיר בישול,,"s_i_Q""_ b_i_S_u_l, s_i_Q""_ b_i_S_u_l"
Hebrew,bless,לברך,,"l_e_v_a_Q""_e_X, l_e_v_a_Q""_e_X"
Hebrew,blocks,קוביה,,"k_u_b_i_m, k_u_b_i_m"
Hebrew,blow,לנשוף,,"l_i_n_S_o_f, l_i_n_S_o_f"
Hebrew,boat,אניה,,"o_n_i_j_a, ʔ_o_n_i_j_a"
Hebrew,boat,סירה,,"s_i_Q""_a"
Hebrew,book,ספר,,"s_e_f_e_Q"""
Hebrew,boots,מגפיים,,m_a_g_a_f_i_m
Hebrew,bottle,בקבוק,,"b_a_k_b_u_k, b_a_k_b_u_k"
Hebrew,bowl,קערה,,"k_e_a_Q""_a, k_e_ʔ_a_Q""_a"
Hebrew,bowl,קערה/ קערית,,"k_e_a_Q""_a, k_e_ʔ_a_Q""_a, k_a_a_Q""_i_t, k_a_ʔ_a_Q""_i_t"
Hebrew,box,קופסה,,"k_u_f_s_a, k_u_f_s_a"
Hebrew,boy,ילד,,j_e_l_e_d
Hebrew,bread,לחם,,l_e_X_e_m
Hebrew,break,לשבור,,"l_i_S_b_o_Q"", l_i_S_b_o_Q"""
Hebrew,breast,ציצי,,ts_i_ts_i
Hebrew,bring,להביא,,l_i_h_a_v_i
Hebrew,broken,מקולקל,,"m_e_k_u_l_k_a_l, m_e_k_u_l_k_a_l"
Hebrew,broken,שבור,,"S_a_v_u_Q"", S_a_v_u_Q"""
Hebrew,broom,מטאטא,,"m_a_t_a_t_e, m_a_t_ʔ_a_t_e_ʔ"
Hebrew,brush (action),להבריש,,"l_i_h_a_v_Q""_i_S, l_i_h_a_v_Q""_i_S"
Hebrew,brush (object),מברשת,,"m_i_v_Q""_e_S_e_t, m_i_v_Q""_e_S_e_t"
Hebrew,bubbles,בועות,,"b_u_o_t, b_u_o_t, b_u_ʔ_o_t"
Hebrew,bucket,דלי,,d_l_i
Hebrew,bug,ג'וק,,"dZ_u_k, d_dZ_u_k, dZ_u_k"
Hebrew,bug,ג'וק/ תיקן,,"dZ_u_k, d_dZ_u_k, dZ_u_k, t_i_k_a_n"
Hebrew,build,לבנות,,l_i_v_n_o_t
Hebrew,bun,לחמניה,,l_a_X_m_a_n_i_j_a
Hebrew,bunny,שפן,,"S_a_f_a_n, S_a_f_a_n"
Hebrew,bunny,שפן/ ארנבת,,"S_a_f_a_n, S_a_f_a_n, a_Q""_n_e_v_e_t"
Hebrew,bus,אוטובוס,,"o_t_o_b_u_s, ʔ_o_t_o_b_u_s"
Hebrew,bus station,תחנת אוטובוס,,"t_a_X_a_n_a_t_ o_t_o_b_u_s, t_a_X_a_n_a_t_ ʔ_o_t_o_b_u_s"
Hebrew,butt,טוסיק/ישבן,,"t_u_s_i_k, t_u_s_i_k, j_a_S_v_a_n, j_a_S_v_a_n"
Hebrew,butter,מרגרינה,,"m_a_Q""_g_a_Q""_i_n_a"
Hebrew,butter,מרגרינה/ חמאה,,"m_a_Q""_g_a_Q""_i_n_a, X_e_m_a, X_e_m_ʔ_a"
Hebrew,butterfly,פרפר,,"p_a_Q""_p_a_Q"""
Hebrew,button,כפתור,,"k_a_f_t_o_Q"""
Hebrew,buy,לקנות,,"l_i_k_n_o_t, l_i_k_n_o_t"
Hebrew,buzz,בזז,,b_z_z
Hebrew,buzz,בזז...,,b_z_z
Hebrew,bye,ביי,,b_a_j
Hebrew,bye,ביי/ להתראות,,"b_a_j, l_e_h_i_t_Q""_a_o_t"
Hebrew,cake,עוגה,,"u_g_a, ʔ_u_g_a"
Hebrew,cake,עוגה/ עוגיה,,"u_g_a, ʔ_u_g_a, u_g_i_j_a, ʔ_u_g_i_j_a_"
Hebrew,camera,מצלמה,,m_a_ts_l_e_m_a
Hebrew,can (auxiliary),אפשר,,"e_f_S_a_Q"", e_f_S_a_Q"""
Hebrew,can (auxiliary),יכול,,"j_a_X_o_l, j_a_X_o_l"
Hebrew,candy,ממתק,,"m_a_m_t_a_k, m_a_m_t_a_k"
Hebrew,car,אוטו,,"o_t_o, ʔ_o_t_o"
Hebrew,car,אוטו/ מכונית,,"o_t_o, ʔ_o_t_o, m_e_X_o_n_i_t, m_e_X_o_n_i_t"
Hebrew,careful,זהיר,,"z_a_h_i_Q"""
Hebrew,carpet,שטיח,,"S_a_t_i_a_X, S_a_t_i_a_X"
Hebrew,carrot,גזר,,"g_e_z_e_Q"""
Hebrew,cat,חתול,,X_a_t_u_l
Hebrew,catch,לתפוס,,l_i_t_p_o_s
Hebrew,chair,כיסא,,"k_i_s_e, k_i_s_e_ʔ"
Hebrew,chalk,גיר,,"g_i_Q"""
Hebrew,change,להחליף,,l_e_h_a_X_a_l_i_f
Hebrew,chase,לרדוף,,"l_i_Q""_d_o_f"
Hebrew,cheek,לחי,,l_e_X_i
Hebrew,cheek,לחי/ לחיים,,"l_e_X_i, l_e_X_a_j_i_m"
Hebrew,cheese,גבינה,,g_v_i_n_a
Hebrew,chick,אפרוח,,"e_f_Q""_o_a_X, ʔ_e_f_Q""_o_a_X"
Hebrew,chicken (food),עוף,,"o_f, o_f, ʔ_o_f"
Hebrew,child,ילד/ ילדה,,"j_e_l_e_d, j_a_l_d_a"
Hebrew,chin,סנטר,,"s_a_n_t_e_Q"""
Hebrew,chocolate,שוקולד,,"S_o_k_o_l_a_d, S_o_k_o_l_a_d"
Hebrew,choo choo,ציק ציק צאק,,"ts_i_k_ ts_i_k_ ts_a_k, ts_i_k_ ts_i_k_ ts_a_ʔ_k"
Hebrew,choo choo,צ'יק צ'יק צ'אק,,"ts_i_k_ ts_i_k_ ts_a_k, ts_i_k_ ts_i_k_ ts_a_ʔ_k"
Hebrew,choose,לבחור,,"l_i_v_X_o_Q"""
Hebrew,church,בית כנסת,,"b_e_i_t_ k_n_e_s_e_t, b_e_j_t_ k_n_e_s_e_t"
Hebrew,clap,מחא כפיים,,"m_a_X_a_ k_a_p_a_i_m, m_a_X_a_ʔ_ k_a_p_a_i_m"
Hebrew,clean (action),לנקות,,"l_e_n_a_k_o_t, l_e_n_a_k_o_t"
Hebrew,clean (description),נקי,,"n_a_k_i, n_a_k_i"
Hebrew,clementine,קלמנטינה,,"k_l_e_m_e_n_t_i_n_a, k_l_e_m_e_n_t_i_n_a"
Hebrew,climb,לטפס,,"l_e_t_a_p_e_s, l_e_t_a_p_e_s"
Hebrew,clock,שעון,,"S_a_u_n, S_a_u_n, S_a_ʔ_u_n"
Hebrew,close,לסגור,,"l_i_s_g_o_Q"""
Hebrew,close,לסתום,,l_i_s_t_o_m
Hebrew,closet,ארון,,"a_Q""_o_n, ʔ_a_Q""_o_n"
Hebrew,cloud,ענן/ עננים,,"a_n_a_n, ʔ_a_n_a_n"
Hebrew,clown,ליצן,,"l_e_i_ts_a_n, l_e_ts_a_n"
Hebrew,coat,מעיל,,"m_e_i_l, m_e_i_l, m_e_ʔ_i_l"
Hebrew,cockadoodledoo,קוקוריקו,,"k_u_k_u_Q""_i_k_u, k_u_k_u_Q""_i_k_u"
Hebrew,coffee,קפה,,"k_a_f_e, k_a_f_e"
Hebrew,cold,קר,,"k_a_Q"", k_a_Q"""
Hebrew,color (action),לצבוע,,"l_i_ts_b_o_a, l_i_ts_b_o_ʔ_a"
Hebrew,comb (action),לסרק,,"l_e_s_a_Q""_e_k, l_e_s_a_Q""_e_k"
Hebrew,comb (object),מסרק,,"m_a_s_Q""_e_k, m_a_s_Q""_e_k"
Hebrew,corn,תירס,,"t_i_Q""_a_s"
Hebrew,couch,ספה,,s_a_p_a
Hebrew,cover (action),לכסות,,"l_e_k_a_s_o_t, l_e_X_a_s_o_t"
Hebrew,cow,פרה,,"p_a_Q""_a"
Hebrew,cracker,קרקר,,"k_Q""_a_k_e_Q"", k_Q""_a_k_e_Q"""
Hebrew,cry,לבכות,,l_i_v_k_o_t
Hebrew,cucumber,מלפפון,,m_e_l_a_f_e_f_o_n
Hebrew,cup,כוס,,k_o_s
Hebrew,cup,כוס/ ספל,,"k_o_s, s_e_f_e_l"
Hebrew,curtain,וילון,,v_i_l_o_n
Hebrew,cut,לגזור,,"l_i_g_z_o_Q"""
Hebrew,cut,לחתוך,,"l_a_X_t_o_k, l_a_X_t_o_X"
Hebrew,cute,חמוד,,X_a_m_u_d
Hebrew,daddy,אבא,,"a_b_a, ʔ_a_b_a_ʔ"
Hebrew,dance,לרקוד,,"l_i_Q""_k_o_d, l_i_Q""_k_o_d"
Hebrew,dark,חושך,,"X_o_S_e_k, X_o_S_e_X"
Hebrew,deer,אייל,,"a_j_a_l, ʔ_a_j_a_l"
Hebrew,deer,אייל/ צבי/ במבי,,"a_j_a_l, ʔ_a_j_a_l, ts_v_i, b_a_m_b_i"
Hebrew,descend,לרדת,,"l_a_Q""_e_d_e_t"
Hebrew,diaper,טיטול,,"t_i_t_u_l, t_i_t_u_l"
Hebrew,diaper,טיטול/ חיתול,,"t_i_t_u_l, t_i_t_u_l, X_i_t_u_l, X_i_t_u_l"
Hebrew,dirty,מלוכלך,,m_e_l_u_X_l_a_X
Hebrew,disgusting,מגעיל,,"m_a_g_i_l, m_a_g_i_l, m_a_g_ʔ_i_l"
Hebrew,do,לעשות,,"l_a_a_s_o_t, l_a_ʔ_a_s_o_t"
Hebrew,doctor,רופא,,"Q""_u_p_a, Q""_u_p_a_ʔ"
Hebrew,dog,כלב,,k_e_l_e_v
Hebrew,doll,בובה,,b_u_b_a
Hebrew,don't,די,,d_a_i
Hebrew,donkey,חמור,,"X_a_m_o_Q"""
Hebrew,door,דלת,,d_e_l_e_t
Hebrew,down,למטה,,"l_e_m_a_t_a, l_e_m_a_t_a"
Hebrew,drawer,מגירה,,"m_e_g_e_Q""_a"
Hebrew,dress (object),שמלה,,"s_i_m_l_a, s_i_m_l_a"
Hebrew,drink (action),לשתות,,"l_i_S_t_o_t, l_i_S_t_o_t"
Hebrew,drive,לנהוג,,l_i_n_h_o_g
