language,form,item_id,item_definition,lexical_category
English (British),TEDS Threes,item_88,none,other
English (British),TEDS Threes,item_90,nurse,nouns
English (British),TEDS Threes,item_57,peanut,nouns
English (British),TEDS Threes,item_76,on top of,function_words
English (British),TEDS Twos,item_60,our,function_words
English (British),TEDS Twos,item_86,oven/cooker,nouns
English (British),TEDS Twos,item_21,ouch/ow,other
English (British),TEDS Threes,item_62,pavement,nouns
English (British),TEDS Twos,item_109,peas,nouns
English (British),TEDS Threes,item_47,peel,verbs
English (British),TEDS Twos,item_31,person,nouns
English (British),TEDS Twos,item_46,pillow,nouns
English (British),TEDS Twos,item_58,plate,nouns
English (British),TEDS Twos,item_63,pour,verbs
English (British),TEDS Twos,item_87,pretend,verbs
English (British),TEDS Threes,item_51,promise,verbs
English (British),TEDS Twos,item_98,rain,nouns
English (British),TEDS Threes,item_21,reindeer,nouns
English (British),TEDS Threes,item_65,salt,nouns
English (British),TEDS Twos,item_81,sandwich,nouns
English (British),TEDS Twos,item_89,sauce,nouns
English (British),TEDS Threes,item_69,sauce,nouns
English (British),TEDS Twos,item_110,school,nouns
English (British),TEDS Twos,item_95,shake,verbs
English (British),TEDS Twos,item_22,shoe,nouns
English (British),TEDS Twos,item_47,shopping,nouns
English (British),TEDS Twos,item_15,sky,nouns
English (British),TEDS Threes,item_59,sneeze,verbs
English (British),TEDS Threes,item_33,football,nouns
English (British),TEDS Twos,item_26,sock,nouns
English (British),TEDS Threes,item_63,somersault,nouns
English (British),TEDS Twos,item_90,stairs,nouns
English (British),TEDS Threes,item_30,stamp,nouns
English (British),TEDS Twos,item_102,star,nouns
English (British),TEDS Threes,item_16,peculiar,adjectives
English (British),TEDS Twos,item_106,swing,nouns
English (British),TEDS Twos,item_99,taste,verbs
English (British),TEDS Twos,item_91,rip/tear,verbs
English (British),TEDS Twos,item_51,thank you,other
English (British),TEDS Threes,item_40,their,function_words
English (British),TEDS Twos,item_64,them,function_words
English (British),TEDS Threes,item_24,then,function_words
English (British),TEDS Threes,item_44,they,function_words
English (British),TEDS Twos,item_107,think,verbs
English (British),TEDS Threes,item_67,think,verbs
English (British),TEDS Twos,item_68,this,function_words
English (British),TEDS Threes,item_48,those,function_words
English (British),TEDS Threes,item_97,thumb,nouns
English (British),TEDS Threes,item_34,tyre,nouns
English (British),TEDS Threes,item_28,today,other
English (British),TEDS Twos,item_56,tonight,other
English (British),TEDS Twos,item_70,towel,nouns
English (British),TEDS Twos,item_62,rubbish,nouns
English (British),TEDS Twos,item_66,tray,nouns
English (British),TEDS Threes,item_41,tricycle,nouns
English (British),TEDS Threes,item_49,trolley,nouns
English (British),TEDS Twos,item_25,uh-oh/oh dear,other
English (British),TEDS Twos,item_88,under,function_words
English (British),TEDS Twos,item_72,us,function_words
English (British),TEDS Threes,item_73,vanilla,nouns
English (British),TEDS Threes,item_77,vegetable,nouns
English (British),TEDS Threes,item_32,week,nouns
English (British),TEDS Threes,item_100,were,verbs
English (British),TEDS Twos,item_44,wet,adjectives
English (British),TEDS Twos,item_76,where,function_words
English (British),TEDS Threes,item_56,why,function_words
English (British),TEDS Twos,item_111,wish,verbs
English (British),TEDS Twos,item_29,woof woof,other
English (British),TEDS Twos,item_108,would,function_words
English (British),TEDS Threes,item_36,yesterday,other
English (British),TEDS Threes,item_52,yourself,function_words
English (British),TEDS Twos,item_19,zoo,nouns
English (British),TEDS Threes,item_66,zoo,nouns
