"","word","wordcount","freq","mlu","solo","last","first","charactercount","language","totalcount"
"66","fondo",23,0.000267977816097311,7.65217391304348,NA,11,NA,5,"Italian",85828
"67","canta",6,6.99072563732115e-05,6.33333333333333,NA,1,1,5,"Italian",85828
"68","canzoncina",10,0.000116512093955353,5.5,1,6,NA,10,"Italian",85828
"69","bello",61,0.000710723773127651,5.57377049180328,2,21,6,5,"Italian",85828
"70","treno",58,0.000675770144941045,6.36206896551724,1,34,1,5,"Italian",85828
"71","piacerebbe",4,4.6604837582141e-05,7.5,NA,NA,NA,10,"Italian",85828
"72","molto",55,0.000640816516754439,7.81818181818182,NA,1,14,5,"Italian",85828
"73","giovanni",14,0.000163116931537494,7.64285714285714,2,5,NA,8,"Italian",85828
"74","porta",50,0.000582560469776763,11.1,NA,13,1,5,"Italian",85828
"75","legna",2,2.33024187910705e-05,10,NA,1,NA,5,"Italian",85828
"76","dobbiamo",43,0.000501002004008016,7.30232558139535,NA,NA,9,8,"Italian",85828
"77","parlare",9,0.000104860884559817,7.66666666666667,NA,1,NA,7,"Italian",85828
"78","deve",72,0.000838887076478538,9.26388888888889,NA,1,16,4,"Italian",85828
"79","quando",117,0.00136319149927763,10,NA,2,26,6,"Italian",85828
"80","abbiamo",123,0.00143309875565084,8.00813008130081,NA,11,12,7,"Italian",85828
"81","finito",55,0.000640816516754439,6.56363636363636,2,19,6,6,"Italian",85828
"82","facciamo",155,0.00180593745630796,6.13548387096774,NA,20,37,8,"Italian",85828
"83","dopo",146,0.00170107657174815,8.30821917808219,NA,24,28,4,"Italian",85828
"84","parla",13,0.000151465722141958,6.76923076923077,1,3,1,5,"Italian",85828
"85","lui",48,0.000559258050985692,9.39583333333333,NA,16,3,3,"Italian",85828
"86","c'",739,0.00861024374330055,8.17591339648173,NA,NA,118,2,"Italian",85828
"87","locomotiva",15,0.000174768140933029,6.13333333333333,1,9,NA,10,"Italian",85828
"88","vagone",3,3.49536281866058e-05,8,NA,1,NA,6,"Italian",85828
"89","carico",5,5.82560469776763e-05,4.4,NA,1,NA,6,"Italian",85828
"90","con",494,0.00575569744139442,8.86437246963563,2,5,76,3,"Italian",85828
"91","sopra",35,0.000407792328843734,8.22857142857143,NA,15,2,5,"Italian",85828
"92","tutti",188,0.00219042736636063,8.63829787234043,3,14,21,5,"Italian",85828
"93","omini",2,2.33024187910705e-05,8,NA,2,NA,5,"Italian",85828
"94","solo",119,0.0013864939180687,8.6890756302521,NA,23,16,4,"Italian",85828
"95","arriva",26,0.000302931444283917,10.8846153846154,NA,4,2,6,"Italian",85828
"96","qui",420,0.00489350794612481,6.86428571428571,3,202,44,3,"Italian",85828
"97","sotto",127,0.00147970359323298,7.88976377952756,1,26,23,5,"Italian",85828
"98","ponte",2,2.33024187910705e-05,8,1,NA,NA,5,"Italian",85828
"99","omino",2,2.33024187910705e-05,15,NA,1,NA,5,"Italian",85828
"100","li",160,0.00186419350328564,8.56875,NA,NA,32,2,"Italian",85828
"101","saluta",6,6.99072563732115e-05,10.3333333333333,NA,2,NA,6,"Italian",85828
"102","te",153,0.00178263503751689,7.86928104575163,NA,31,19,2,"Italian",85828
"103","vedi",181,0.00210886890059188,7.22651933701657,12,42,62,4,"Italian",85828
"104","mai",30,0.000349536281866058,7.63333333333333,1,6,1,3,"Italian",85828
