"","X1","word","wordcount","freq","mlu","solo","last","first","charactercount","language","totalcount","stem","uni_lemma","nb_realisations_lemma","words_lemma","sum_wordcount_lemma","mean_character_count_lemma","sum_freq","mean_mlu_lemma","sum_solo_lemma","sum_last_lemma","sum_first_lemma"
"29",49,"questo",42,0.0104790419161677,7.40476190476191,3,4,11,6,"Italian",4008,"quest","this",5,"a, questi, questo, queste, questa",125,5,0.031187624750499,7.21347985347986,3,12,23
"30",52,"me",11,0.00274451097804391,7.90909090909091,NA,3,1,2,"Italian",4008,"me","me",2,"me, mi",16,2,0.00399201596806387,7.85454545454546,0,3,1
"31",53,"più",11,0.00274451097804391,9,NA,4,NA,3,"Italian",4008,"più","no more",1,"più",11,3,0.00274451097804391,9,0,4,0
"32",55,"adesso",12,0.0029940119760479,7.66666666666667,NA,1,7,6,"Italian",4008,"adess","now",2,"adesso, ora",19,4.5,0.00474051896207584,8.61904761904762,0,1,8
"33",56,"che",66,0.0164670658682635,9.15151515151515,NA,1,8,3,"Italian",4008,"che","what",1,"che",66,3,0.0164670658682635,9.15151515151515,0,1,8
"34",58,"tutto",8,0.00199600798403194,7.375,NA,2,1,5,"Italian",4008,"tutt","all",4,"tutto, tutti, tutte, tutta",31,5,0.00773453093812375,7.92830882352941,0,4,1
"35",61,"vedere",8,0.00199600798403194,6.875,NA,4,NA,6,"Italian",4008,"ved","see",6,"vedere, vedi, vederli, vediamo, vedono, vede",41,5.66666666666667,0.0102295409181637,7.90865384615385,0,12,12
"36",63,"poi",29,0.00723552894211577,6.41379310344828,2,5,9,3,"Italian",4008,"poi","after",2,"poi, dopo",40,3.5,0.00998003992015968,7.1614420062696,2,10,11
"37",65,"in",18,0.00449101796407186,8.33333333333333,NA,NA,NA,2,"Italian",4008,"in","in",1,"in",18,2,0.00449101796407186,8.33333333333333,0,0,0
"38",67,"canta",2,0.000499001996007984,8,NA,NA,NA,5,"Italian",4008,"cant","sing",4,"canta, cantare, cantano, cantiamo",9,6.75,0.00224550898203593,6.25,0,2,0
"39",69,"bello",5,0.00124750499001996,6.2,1,2,NA,5,"Italian",4008,"bell","nice",5,"bello, bella, belli, belle, bellissima",14,6,0.00349301397205589,6.24,2,5,0
"40",70,"treno",4,0.000998003992015968,9.25,NA,2,NA,5,"Italian",4008,"tren","train",2,"treno, treni",7,5,0.00174650698602794,10.4583333333333,0,4,0
"41",72,"molto",3,0.000748502994011976,9.66666666666667,NA,NA,NA,5,"Italian",4008,"molt","much",1,"molto",3,5,0.000748502994011976,9.66666666666667,0,0,0
