word,wordcount,frequency_word,mlu_word,solo_word,final_word,initial_word,charactercount,language,totalcount,stem,uni_lemma,nb_realisations_lemma,words_lemma,sum_wordcount_lemma,mean_character_count_lemma,frequency,MLU,solo_frequency,final_frequency,initial_frequency
tom,39,39,3.769230769230769,2,30,NA,3,Danish,195658,tom,empty,2,"tom, tomme",40,4,40,3.8846153846153846,2,31,0
væk,195,195,4.8,10,137,11,3,Danish,195658,væk,all gone,3,"væk, vække, vækker",197,4.666666666666667,197,10.266666666666666,10,137,11
væk,195,195,4.8,10,137,11,3,Danish,195658,væk,away,3,"væk, vække, vækker",197,4.666666666666667,197,10.266666666666666,10,137,11
bilen,147,147,4.789115646258503,3,65,22,5,Danish,195658,bil,car,7,"bilen, bil, biler, bille, bilerne, biller, billen",262,5.285714285714286,262,6.5239927374486015,6,151,23
putte,109,109,7.027522935779817,NA,1,3,5,Danish,195658,put,put,9,"putter, putte, sætte, sætter, put, sættes, sæt, puttes, puttet",683,5.111111111111111,683,6.437045529269593,1,9,75
mig,428,428,6.852803738317757,NA,193,NA,3,Danish,195658,mig,me,1,mig,428,3,428,6.852803738317757,0,193,0
hvor,1082,1082,4.896487985212569,46,1,755,4,Danish,195658,hvor,where (question),1,hvor,1082,4,1082,4.896487985212569,46,1,755
vent,58,58,3.810344827586207,5,5,25,4,Danish,195658,vent,wait,3,"vent, vente, venter",112,5,112,6.4288451012588945,6,13,25
tager,179,179,6.955307262569832,NA,2,12,5,Danish,195658,tag,take,5,"tager, tage, tag, taget, tages",628,4.4,628,6.6058480225330944,0,35,48
fast,107,107,6.02803738317757,NA,68,NA,4,Danish,195658,fast,aunt,3,"fast, moster, mosters",118,5.666666666666667,118,4.898234683281412,0,70,2
nogle,331,331,7.897280966767371,NA,44,5,5,Danish,195658,nogl,some,3,"noget, nogle, nogen",1773,5,1773,7.5364651068497945,0,593,35
tage,336,336,6.982142857142857,NA,17,3,4,Danish,195658,tag,take,5,"tager, tage, tag, taget, tages",628,4.4,628,6.6058480225330944,0,35,48
løve,30,30,4.4,1,26,NA,4,Danish,195658,løv,lion,4,"løve, løven, løver, løvens",45,5,45,6.065909090909091,2,34,0
sammen,211,211,7.203791469194313,NA,115,8,6,Danish,195658,sam,same,2,"sammen, samme",247,5.5,247,7.560229067930489,0,127,9
løven,11,11,4.363636363636363,1,6,NA,5,Danish,195658,løv,lion,4,"løve, løven, løver, løvens",45,5,45,6.065909090909091,2,34,0
lille,465,465,6.434408602150538,1,35,20,5,Danish,195658,lil,little (description),1,lille,465,5,465,6.434408602150538,1,35,20
sætte,335,335,7.2388059701492535,1,4,7,5,Danish,195658,sæt,put,9,"putter, putte, sætte, sætter, put, sættes, sæt, puttes, puttet",683,5.111111111111111,683,6.437045529269593,1,9,75
æble,14,14,6.142857142857143,NA,8,NA,4,Danish,195658,æbl,apple,3,"æble, æblet, æbler",20,4.666666666666667,20,5.5476190476190474,1,13,0
siger,527,527,5.072106261859583,NA,61,51,5,Danish,195658,sig,say,3,"siger, sig, sige",918,4,918,6.628293375396424,0,126,60
bid,11,11,4.818181818181818,4,3,NA,3,Danish,195658,bid,bite,5,"bid, bidder, bide, bider, bides",126,4.6,126,5.9248709315375985,7,34,13
af,774,774,8.001291989664082,3,252,14,2,Danish,195658,af,off,1,af,774,2,774,8.001291989664082,3,252,14
tæppe,5,5,5.4,NA,3,NA,5,Danish,195658,tæp,carpet,2,"tæppet, tæppe",16,5.5,16,6.154545454545454,0,10,0
lukke,31,31,5.838709677419355,1,4,1,5,Danish,195658,luk,close,5,"lukke, lukkes, lukker, lukket, luk",65,5.2,65,4.749060616802552,1,15,4
andet,121,121,8.181818181818182,NA,37,2,5,Danish,195658,and,duck,4,"anden, andet, and, anders",369,4.75,369,6.904150197628459,0,94,2
ud,588,588,8.16156462585034,NA,229,19,2,Danish,195658,ud,out,1,ud,588,2,588,8.16156462585034,0,229,19
cykel,20,20,5.2,NA,16,NA,5,Danish,195658,cykel,bicycle,1,cykel,20,5,20,5.2,0,16,0
får,174,174,7.775862068965517,NA,13,11,3,Danish,195658,får,sheep,3,"får, fårene, fåret",177,4.666666666666667,177,4.925287356321839,0,16,11
sætter,84,84,7.511904761904762,NA,1,1,6,Danish,195658,sæt,put,9,"putter, putte, sætte, sætter, put, sættes, sæt, puttes, puttet",683,5.111111111111111,683,6.437045529269593,1,9,75
rød,81,81,4.617283950617284,5,33,3,3,Danish,195658,rød,red,3,"rød, røde, rødder",143,4.333333333333333,143,6.957173746250959,5,47,7
skål,11,11,2.4545454545454546,5,NA,4,4,Danish,195658,skål,bowl,2,"skål, skålen",12,5,12,4.7272727272727275,5,0,4
hånden,48,48,6.791666666666667,NA,37,1,6,Danish,195658,hånd,hand,2,"hånden, hånd",84,5,84,6.354166666666667,0,65,1
tung,16,16,4.9375,1,10,NA,4,Danish,195658,tung,tongue,4,"tung, tunge, tungen, tungt",51,5,51,4.621875,2,31,1
min,121,121,6.090909090909091,1,26,8,3,Danish,195658,min,mine,3,"min, mine, mit",157,3.3333333333333335,157,6.3019079685746355,1,33,9
kop,44,44,5.431818181818182,1,25,1,3,Danish,195658,kop,cup,6,"kop, koppen, kruset, kopper, krus, kopperne",85,5.5,85,5.838309566250743,2,55,3
bil,83,83,5.867469879518072,2,63,NA,3,Danish,195658,bil,car,7,"bilen, bil, biler, bille, bilerne, biller, billen",262,5.285714285714286,262,6.5239927374486015,6,151,23
under,55,55,7.472727272727273,1,8,NA,5,Danish,195658,und,under,3,"under, underligt, underlig",63,7.333333333333333,63,8.89090909090909,1,10,0
træk,20,20,3.45,4,2,10,4,Danish,195658,træk,pull,4,"træk, trække, trækkes, trækker",211,6,211,5.830932510885341,5,31,14
farligt,11,11,5.2727272727272725,NA,4,NA,7,Danish,195658,far,daddy,8,"farligt, farlig, far, faren, farens, farlige, fars, farende",150,5.625,150,7.063668084788775,4,54,14
drikke,59,59,7.1525423728813555,NA,20,2,6,Danish,195658,drik,drink (action),3,"drikke, drikker, drik",79,5.666666666666667,79,7.013810420590081,0,22,6
mælk,50,50,4.96,1,39,1,4,Danish,195658,mælk,milk,2,"mælk, mælken",52,5,52,6.48,1,39,1
stolen,61,61,5.754098360655738,1,42,1,6,Danish,195658,stol,chair,4,"stolen, stol, stole, stolene",134,5.5,134,5.973692054278767,2,89,3
træt,41,41,5.219512195121951,NA,25,NA,4,Danish,195658,træt,tired,2,"træt, trætte",42,5,42,5.609756097560975,0,25,0
hoppe,31,31,5.387096774193548,NA,17,2,5,Danish,195658,hop,jump,4,"hoppe, hopper, hop, hops",129,4.5,129,3.259962049335863,51,39,7
musen,114,114,4.114035087719298,7,42,16,5,Danish,195658,mus,mouse,7,"musen, mus, muser, muses, musens, musse, musene",223,5,223,5.388839746424885,9,127,17
mus,102,102,5.107843137254902,2,82,1,3,Danish,195658,mus,mouse,7,"musen, mus, muser, muses, musens, musse, musene",223,5,223,5.388839746424885,9,127,17
sig,149,149,8.46979865771812,NA,37,6,3,Danish,195658,sig,say,3,"siger, sig, sige",918,4,918,6.628293375396424,0,126,60
hund,125,125,5.656,1,89,1,4,Danish,195658,hund,dog,4,"hund, hunden, hunde, hundene",338,5.5,338,7.637727422003284,5,190,24
hunden,203,203,4.990147783251231,4,96,22,6,Danish,195658,hund,dog,4,"hund, hunden, hunde, hundene",338,5.5,338,7.637727422003284,5,190,24
køre,274,274,7.521897810218978,1,68,1,4,Danish,195658,kør,drive,3,"køre, kører, kør",433,4,433,5.9216983630435145,2,80,33
løbe,35,35,8.028571428571428,NA,3,NA,4,Danish,195658,løb,run,5,"løbe, løb, løbende, løbet, løber",100,4.8,100,9.623571428571429,0,14,3
bange,38,38,7.552631578947368,1,10,2,5,Danish,195658,bang,scared,2,"bange, bang",48,4.5,48,4.776315789473684,7,12,4
hvordan,124,124,7.75,1,6,55,7,Danish,195658,hvordan,how,1,hvordan,124,7,124,7.75,1,6,55
dukken,174,174,4.896551724137931,2,108,4,6,Danish,195658,duk,doll,8,"dukken, dukke, dukkens, dukker, dukkes, dukkerne, dukkernes, duk",245,6.25,245,5.783318965517241,6,149,7
sød,81,81,4.753086419753086,NA,59,NA,3,Danish,195658,sød,cute,2,"sød, søde",85,3.5,85,5.251543209876543,0,60,0
dukke,50,50,4.52,2,32,3,5,Danish,195658,duk,doll,8,"dukken, dukke, dukkens, dukker, dukkes, dukkerne, dukkernes, duk",245,6.25,245,5.783318965517241,6,149,7
bolden,95,95,4.242105263157895,1,53,3,6,Danish,195658,bold,ball,3,"bolden, bold, bolde",178,5,178,3.8876637797024207,4,118,3
bold,79,79,4.670886075949367,3,62,NA,4,Danish,195658,bold,ball,3,"bolden, bold, bolde",178,5,178,3.8876637797024207,4,118,3
håret,10,10,5.9,NA,7,NA,5,Danish,195658,hår,hair,2,"håret, hår",70,4,70,5.7,3,43,0
klodser,37,37,4.675675675675675,4,20,2,7,Danish,195658,klods,block,4,"klodser, klods, klodserne, klodsen",84,7,84,5.908049353701528,4,45,3
klods,23,23,5.956521739130435,NA,18,NA,5,Danish,195658,klod,block,4,"klodser, klods, klodserne, klodsen",84,7,84,5.908049353701528,4,45,3
hvem,284,284,4.890845070422535,6,3,204,4,Danish,195658,hvem,who,1,hvem,284,4,284,4.890845070422535,6,3,204
klodserne,14,14,6.5,NA,7,1,9,Danish,195658,klods,block,4,"klodser, klods, klodserne, klodsen",84,7,84,5.908049353701528,4,45,3
fin,55,55,5.236363636363636,NA,24,1,3,Danish,195658,fin,fine,2,"fin, fine",76,3.5,76,6.261038961038961,0,25,4
slut,28,28,4.928571428571429,5,13,3,4,Danish,195658,slut,finish,2,"slut, slutte",29,5,29,6.964285714285714,5,13,3
din,212,212,6.509433962264151,NA,25,18,3,Danish,195658,din,your,3,"din, dine, dit",285,3.3333333333333335,285,7.074200035488259,0,29,21
strømpe,3,3,8.333333333333334,NA,NA,NA,7,Danish,195658,strømp,sock,5,"strømpe, sok, strømper, sokker, strømpen",21,6.4,21,6.806666666666667,1,9,0
falder,86,86,6.104651162790698,NA,7,18,6,Danish,195658,fald,fall,5,"falder, faldt, faldet, falde, fald",230,5.2,230,7.173625005511105,0,28,36
hårdt,17,17,6.0588235294117645,NA,11,NA,5,Danish,195658,hård,hard,4,"hårdt, hårdere, hårde, hård",27,5.25,27,6.214705882352941,0,19,0
sige,242,242,6.3429752066115705,NA,28,3,4,Danish,195658,sig,say,3,"siger, sig, sige",918,4,918,6.628293375396424,0,126,60
rosin,1,1,6,NA,1,NA,5,Danish,195658,rosin,raisin,1,rosin,1,5,1,6,0,1,0
spises,4,4,6,NA,4,NA,6,Danish,195658,spis,eat,4,"spise, spises, spiser, spis",196,5.25,196,5.313641102873031,1,34,25
gynge,15,15,5.466666666666667,NA,9,NA,5,Danish,195658,gyng,swing (action),4,"gynge, gyng, gyngen, gynger",23,5.25,23,3.716666666666667,1,14,0
gynge,15,15,5.466666666666667,NA,9,NA,5,Danish,195658,gyng,swing (object),4,"gynge, gyng, gyngen, gynger",23,5.25,23,3.716666666666667,1,14,0
bog,101,101,6.96039603960396,1,55,NA,3,Danish,195658,bog,book,2,"bog, bogen",131,4,131,6.863531353135313,2,74,0
dyr,50,50,7.62,2,33,NA,3,Danish,195658,dyr,animal,2,"dyr, dyrene",62,4.5,62,6.976666666666667,2,38,1
bamsen,132,132,4.454545454545454,2,66,17,6,Danish,195658,bams,teddybear,6,"bamsen, bamse, bamme, bamer, bam, bamsens",194,5.166666666666667,194,4.060325476992143,7,105,18
kat,70,70,5.514285714285714,3,53,1,3,Danish,195658,kat,cat,4,"kat, katten, kattens, katte",178,5.25,178,5.559943977591036,6,95,23
ko,26,26,4.6923076923076925,NA,22,NA,2,Danish,195658,ko,cow,1,ko,26,2,26,4.6923076923076925,0,22,0
grise,15,15,5.2,NA,9,NA,5,Danish,195658,gris,pig,4,"grise, gris, grisen, griser",168,5.25,168,4.287312257751938,4,84,26
bamse,54,54,4.907407407407407,4,37,NA,5,Danish,195658,bams,teddybear,6,"bamsen, bamse, bamme, bamer, bam, bamsens",194,5.166666666666667,194,4.060325476992143,7,105,18
hane,7,7,4.142857142857143,2,4,NA,4,Danish,195658,han,his,3,"hane, han, hans",1102,3.6666666666666665,1102,6.310009718172983,3,88,185
tog,87,87,7.804597701149425,1,33,2,3,Danish,195658,tog,train,4,"tog, toget, togene, toge",263,4.5,263,6.209921355111918,4,95,22
katten,102,102,4.7254901960784315,3,38,22,6,Danish,195658,kat,cat,4,"kat, katten, kattens, katte",178,5.25,178,5.559943977591036,6,95,23
ost,4,4,5,NA,4,NA,3,Danish,195658,ost,cheese,2,"ost, osten",5,4,5,5.5,0,4,0
bidder,1,1,10,NA,NA,NA,6,Danish,195658,bid,bite,5,"bid, bidder, bide, bider, bides",126,4.6,126,5.9248709315375985,7,34,13
stol,57,57,5.631578947368421,NA,40,1,4,Danish,195658,stol,chair,4,"stolen, stol, stole, stolene",134,5.5,134,5.973692054278767,2,89,3
mor,272,272,6.551470588235294,2,97,25,3,Danish,195658,mor,mommy,5,"mor, moren, more, mors, morens",392,4.4,392,6.645661662723342,2,139,50
put,23,23,4.086956521739131,NA,NA,20,3,Danish,195658,put,put,9,"putter, putte, sætte, sætter, put, sættes, sæt, puttes, puttet",683,5.111111111111111,683,6.437045529269593,1,9,75
klodsen,10,10,6.5,NA,NA,NA,7,Danish,195658,klods,block,4,"klodser, klods, klodserne, klodsen",84,7,84,5.908049353701528,4,45,3
blå,83,83,4.831325301204819,3,40,3,3,Danish,195658,blå,blue,1,blå,83,3,83,4.831325301204819,3,40,3
hende,116,116,7.405172413793103,NA,43,7,5,Danish,195658,hend,her,2,"hende, hendes",138,5.5,138,7.202586206896552,0,44,9
ham,154,154,7.285714285714286,NA,49,19,3,Danish,195658,ham,hammer,3,"ham, hammer, hammeren",167,5.666666666666667,167,6.669312169312169,0,57,19
han,1029,1029,7.4538386783284745,NA,68,180,3,Danish,195658,han,his,3,"hane, han, hans",1102,3.6666666666666665,1102,6.310009718172983,3,88,185
egern,37,37,4.675675675675675,3,27,1,5,Danish,195658,egern,squirrel,3,"egern, egernet, egernets",71,6.666666666666667,71,4.839808558558558,3,41,2
trække,159,159,6.566037735849057,1,25,3,6,Danish,195658,træk,pull,4,"træk, trække, trækkes, trækker",211,6,211,5.830932510885341,5,31,14
hopper,34,34,5.088235294117647,NA,12,3,6,Danish,195658,hop,jump,4,"hoppe, hopper, hop, hops",129,4.5,129,3.259962049335863,51,39,7
giver,32,32,7.21875,NA,1,2,5,Danish,195658,giv,give,4,"giver, give, giv, givet",137,4.25,137,7.012379807692308,0,5,18
koppen,34,34,4.264705882352941,1,27,1,6,Danish,195658,kop,cup,6,"kop, koppen, kruset, kopper, krus, kopperne",85,5.5,85,5.838309566250743,2,55,3
forsigtig,23,23,4.260869565217392,6,9,1,9,Danish,195658,forsig,careful,3,"forsigtig, forsigtige, forsigtigt",38,9.666666666666666,38,5.2814009661835755,9,16,2
egernet,32,32,5.84375,NA,14,1,7,Danish,195658,egern,squirrel,3,"egern, egernet, egernets",71,6.666666666666667,71,4.839808558558558,3,41,2
nede,87,87,7.528735632183908,NA,5,11,4,Danish,195658,ned,down,3,"ned, nede, neden",531,4,531,7.153256704980842,1,171,25
lukkes,4,4,5,NA,1,NA,6,Danish,195658,luk,close,5,"lukke, lukkes, lukker, lukket, luk",65,5.2,65,4.749060616802552,1,15,4
stor,133,133,6.165413533834586,1,35,5,4,Danish,195658,stor,big,2,"stor, store",201,4.5,201,6.987118531623175,1,45,6
faldt,53,53,4.811320754716981,NA,4,17,5,Danish,195658,fald,fall,5,"falder, faldt, faldet, falde, fald",230,5.2,230,7.173625005511105,0,28,36
muh,23,23,2.608695652173913,10,11,1,3,Danish,195658,muh,moo,1,muh,23,3,23,2.608695652173913,10,11,1
telefon,10,10,4.1,2,5,NA,7,Danish,195658,telefon,telephone,2,"telefon, telefonen",14,8,14,3.8,2,8,0
næse,44,44,5.409090909090909,1,30,NA,4,Danish,195658,næs,nose,3,"næse, næsen, næser",88,4.666666666666667,88,6.731601731601732,2,60,0
finger,8,8,6.375,NA,6,NA,6,Danish,195658,fing,finger,2,"finger, fingeren",16,7,16,6.3125,0,9,0
sok,5,5,6.2,NA,1,NA,3,Danish,195658,sok,sock,5,"strømpe, sok, strømper, sokker, strømpen",21,6.4,21,6.806666666666667,1,9,0
åbne,42,42,5.4523809523809526,NA,9,NA,4,Danish,195658,åbn,open (action),5,"åbne, åbnet, åbnes, åbn, åbner",62,4.4,62,5.193809523809524,0,19,1
døren,33,33,5.7272727272727275,2,15,1,5,Danish,195658,dør,door,5,"døren, dør, døre, dørens, dørene",58,4.8,58,6.424401913875598,4,29,1
papir,46,46,7.217391304347826,1,26,1,5,Danish,195658,papir,paper,2,"papir, papiret",59,6,59,7.377926421404682,1,30,2
vise,184,184,6.961956521739131,NA,6,NA,4,Danish,195658,vis,show,4,"vise, vises, viser, vis",208,4.25,208,8.238566053511706,1,6,1
hop,62,62,1.564516129032258,49,10,2,3,Danish,195658,hop,jump,4,"hoppe, hopper, hop, hops",129,4.5,129,3.259962049335863,51,39,7
denne,68,68,7.0588235294117645,NA,2,11,5,Danish,195658,den,it,3,"den, denne, dens",7297,4,7297,6.345422095385422,22,1381,1380
denne,68,68,7.0588235294117645,NA,2,11,5,Danish,195658,den,this,5,"det, den, denne, dens, dette",18040,4,18040,6.286435828686425,45,3255,5182
