word,wordcount,frequency_word,mlu_word,solo_word,final_word,initial_word,charactercount,language,totalcount,stem,uni_lemma,nb_realisations_lemma,words_lemma,sum_wordcount_lemma,mean_character_count_lemma,frequency,MLU,solo_frequency,final_frequency,initial_frequency
oui,26683,26683,4.526402578420718,7373,6238,7858,3,French (Quebecois),2043005,oui,yes,2,"oui, ouias",26684,4,26684,2.763201289210359,7374,6238,7858
merci,2062,2062,2.553346265761397,958,364,492,5,French (Quebecois),2043005,merc,thank you,2,"merci, mercis",2067,5.5,2067,4.1766731328806985,958,368,492
dans,11836,11836,9.171764109496452,5,42,1438,4,French (Quebecois),2043005,dan,dance,11,"dans, danse, dansé, danser, danses, dansais, dansait, dan, dansant, dansaient, danserait",12216,6.181818181818182,12216,8.197153558777751,7,239,1442
dans,11836,11836,9.171764109496452,5,42,1438,4,French (Quebecois),2043005,dan,in,11,"dans, danse, dansé, danser, danses, dansais, dansait, dan, dansant, dansaient, danserait",12216,6.181818181818182,12216,8.197153558777751,7,239,1442
entendre,60,60,9.383333333333333,NA,19,NA,8,French (Quebecois),2043005,entendr,hear,2,"entendre, entendra",68,8,68,9.379166666666666,0,19,0
enfants,589,589,9.926994906621392,NA,274,1,7,French (Quebecois),2043005,enfant,child,2,"enfants, enfant",751,6.5,751,9.309176465656375,1,363,4
madame,409,409,6.919315403422983,2,139,37,6,French (Quebecois),2043005,madam,lady,5,"madame, dame, dames, madames, dama",747,5.2,747,8.15015581572733,2,292,38
encore,5363,5363,5.992727950773821,726,1308,743,6,French (Quebecois),2043005,encor,again,1,encore,5363,6,5363,5.992727950773821,726,1308,743
grands,240,240,9.004166666666666,2,67,1,6,French (Quebecois),2043005,grand,big,14,"grande, grands, grand, gros, grandes, grandir, grandissant, grandi, grandit, grandis, grandissent, grandement, grandiras, grandira",3887,7.428571428571429,3887,7.779607272185212,7,794,60
aller,2919,2919,8.616992120589243,24,269,137,5,French (Quebecois),2043005,aller,go,1,aller,2919,5,2919,8.616992120589243,24,269,137
abeilles,35,35,6.857142857142857,NA,24,NA,8,French (Quebecois),2043005,abeil,bee,2,"abeilles, abeille",77,7.5,77,6.083333333333333,4,51,0
travail,186,186,7.935483870967742,NA,94,1,7,French (Quebecois),2043005,travail,work (place),2,"travail, bureau",256,6.5,256,9.903456221198157,0,118,1
enfant,162,162,8.691358024691358,1,89,3,6,French (Quebecois),2043005,enfant,child,2,"enfants, enfant",751,6.5,751,9.309176465656375,1,363,4
garçon,578,578,8.411764705882353,NA,306,2,6,French (Quebecois),2043005,garçon,boy,2,"garçon, garçons",767,6.5,767,8.420168067226891,0,388,3
touche,425,425,7.331764705882353,3,35,106,6,French (Quebecois),2043005,touch,touch,9,"touche, touches, toucher, touché, touchais, toucherai, touchant, touchait, touchez",923,7.333333333333333,923,8.515665044960452,7,165,113
là,26770,26770,6.878408666417632,812,14284,1999,2,French (Quebecois),2043005,là,there,2,"là, là-bas",28006,4,28006,6.61557973773956,873,15029,2050
ton,4913,4913,7.770812131080806,5,60,322,3,French (Quebecois),2043005,ton,your,4,"ton, tonne, tonnes, tons",4923,4.5,4923,6.139131604198774,5,63,322
attend,282,282,6.418439716312057,27,66,88,6,French (Quebecois),2043005,attend,wait,13,"attend, attends, attendre, attendant, attendait, attendez, attendais, attendra, attendaient, attendirent, attendit, attende, attendes",6380,8.384615384615385,6380,8.361074301639215,1308,1481,2513
tournes,219,219,5.945205479452055,NA,73,3,7,French (Quebecois),2043005,tourn,turn,10,"tournant, tournes, tourne, tourné, tourner, tournait, tournais, tournaient, tournis, tournée",1539,7.4,1539,7.351019237744295,102,541,174
images,1608,1608,7.174129353233831,NA,1552,NA,6,French (Quebecois),2043005,imag,picture,2,"image, images",2188,5.5,2188,6.96378881454795,0,2108,0
papa,3489,3489,7.305818286041846,137,1424,335,4,French (Quebecois),2043005,pap,daddy,8,"papa, papas, papi, papie, pape, pap, papis, papé",3737,4.25,3737,8.15714783150162,140,1498,346
papa,3489,3489,7.305818286041846,137,1424,335,4,French (Quebecois),2043005,pap,paper,10,"papa, papier, papas, papi, papiers, papie, pape, pap, papis, papé",4040,4.7,4040,8.194629047905181,145,1641,346
parce,3965,3965,11.938965952080705,NA,NA,1485,5,French (Quebecois),2043005,parc,park,3,"parce, parc, parcs",4091,4.666666666666667,4091,9.559601116818229,0,65,1485
parce,3965,3965,11.938965952080705,NA,NA,1485,5,French (Quebecois),2043005,parc,play pen,3,"parce, parc, parcs",4091,4.666666666666667,4091,9.559601116818229,0,65,1485
content,378,378,7.8121693121693125,2,176,NA,7,French (Quebecois),2043005,content,happy,6,"content, contente, contents, contentes, contenter, contentera",622,8.5,622,7.757727700560171,2,278,0
tête,1445,1445,7.811072664359862,3,726,9,4,French (Quebecois),2043005,têt,head,3,"tête, têtée, têtes",1467,4.666666666666667,1467,7.127500411929478,3,734,9
regarde,12108,12108,5.1102576808721505,2601,2685,3744,7,French (Quebecois),2043005,regard,look,20,"regarder, regardé, regardes, regarde, regardées, regardés, regardée, regarderas, regardera, regardez, regardaient, regardait, regardais, regardant, regard, regards, regarderais, regarderai, regarderez, regarda",13768,8.55,13768,7.877114942415287,2618,3070,3820
lumière,294,294,8.16326530612245,5,146,1,7,French (Quebecois),2043005,lumi,light (object),2,"lumière, lumières",317,7.5,317,7.885980479148181,5,157,1
tortues,30,30,5.833333333333333,NA,23,NA,7,French (Quebecois),2043005,tortu,turtle,2,"tortues, tortue",251,6.5,251,6.0976621417797885,15,139,5
attends,5833,5833,5.217898165609463,1276,1339,2415,7,French (Quebecois),2043005,attend,wait,13,"attend, attends, attendre, attendant, attendait, attendez, attendais, attendra, attendaient, attendirent, attendit, attende, attendes",6380,8.384615384615385,6380,8.361074301639215,1308,1481,2513
où,9276,9276,6.263906856403622,118,1479,3438,2,French (Quebecois),2043005,où,where (question),1,où,9276,2,9276,6.263906856403622,118,1479,3438
montrer,652,652,8.883435582822086,1,156,2,7,French (Quebecois),2043005,montr,show,14,"montrer, montre, montres, montrais, montré, montrait, montreras, montrerai, montrez, montrée, montrerais, montrées, montraient, montrera",3066,7.857142857142857,3066,8.564072526906026,57,530,850
montrer,652,652,8.883435582822086,1,156,2,7,French (Quebecois),2043005,montr,watch (object),14,"montrer, montre, montres, montrais, montré, montrait, montreras, montrerai, montrez, montrée, montrerais, montrées, montraient, montrera",3066,7.857142857142857,3066,8.564072526906026,57,530,850
dire,1693,1693,9.233904311872417,NA,389,2,4,French (Quebecois),2043005,dir,say,8,"dire, diras, dira, dirait, dirais, dirai, direz, diraient",2206,5.375,2206,9.94249435943974,0,458,2
trouve,389,389,9.699228791773779,2,54,4,6,French (Quebecois),2043005,trouv,find,15,"trouve, trouves, trouver, trouvé, trouvée, trouvais, trouvées, trouvait, trouvera, trouveras, trouva, trouvés, trouvez, trouverais, trouvèrent",1792,7.6,1792,8.974162993803352,5,426,13
toi,8441,8441,6.788413695059827,34,3462,785,3,French (Quebecois),2043005,toi,you,12,"tu, toi, tués, tuer, tue, tuait, tué, tuera, tuée, tuas, tues, tueront",86147,4,86147,9.725992883301323,84,4515,38128
bravo,1382,1382,2.462373371924747,601,430,255,5,French (Quebecois),2043005,bravo,bravo,1,bravo,1382,5,1382,2.462373371924747,601,430,255
jambes,174,174,8.028735632183908,NA,82,NA,6,French (Quebecois),2043005,jamb,leg,2,"jambes, jambe",263,5.5,263,7.828974557664988,0,136,1
tant,161,161,8.29192546583851,NA,6,38,4,French (Quebecois),2043005,tant,aunt,5,"tant, tante, tantes, mat, mati",209,4.4,209,7.7835463834902825,1,21,39
fini,1482,1482,5.765182186234818,65,755,26,4,French (Quebecois),2043005,fin,finish,20,"fini, finit, finir, finis, finie, fin, finisses, finiras, finisse, finissais, fines, finissons, fine, fins, finira, finirai, finissent, finies, finissez, finirent",2286,6.2,2286,8.978593108491275,68,924,57
fini,1482,1482,5.765182186234818,65,755,26,4,French (Quebecois),2043005,fin,finished,20,"fini, finit, finir, finis, finie, fin, finisses, finiras, finisse, finissais, fines, finissons, fine, fins, finira, finirai, finissent, finies, finissez, finirent",2286,6.2,2286,8.978593108491275,68,924,57
moi,8455,8455,7.205440567711413,68,2720,1626,3,French (Quebecois),2043005,moi,me,1,moi,8455,3,8455,7.205440567711413,68,2720,1626
tourne,917,917,4.805888767720829,94,332,169,6,French (Quebecois),2043005,tourn,turn,10,"tournant, tournes, tourne, tourné, tourner, tournait, tournais, tournaient, tournis, tournée",1539,7.4,1539,7.351019237744295,102,541,174
souris,420,420,6.90952380952381,12,217,4,6,French (Quebecois),2043005,sour,mouse,2,"souris, sourit",449,6,449,6.730623973727422,12,233,5
souris,420,420,6.90952380952381,12,217,4,6,French (Quebecois),2043005,sour,smile,4,"souris, sourire, sourires, sourit",519,6.75,519,6.681978653530377,12,277,5
nez,1045,1045,7.151196172248804,35,556,34,3,French (Quebecois),2043005,nez,nose,1,nez,1045,3,1045,7.151196172248804,35,556,34
sauté,47,47,6.51063829787234,NA,14,NA,5,French (Quebecois),2043005,saut,jump,12,"sauté, sautes, saute, sauter, sautaient, sauts, saut, sauterai, sauta, sautée, sautait, sautez",411,6,411,8.344400543183339,8,131,27
son,2535,2535,8.859960552268245,5,83,136,3,French (Quebecois),2043005,son,his,8,"son, sonne, sonné, sonnez, sons, sonner, sonnés, sonnes",2642,5.125,2642,7.852425138963601,5,131,147
faire,8947,8947,8.491673186542975,NA,1415,63,5,French (Quebecois),2043005,fair,do,1,faire,8947,5,8947,8.491673186542975,0,1415,63
sautes,63,63,4.809523809523809,NA,30,NA,6,French (Quebecois),2043005,saut,jump,12,"sauté, sautes, saute, sauter, sautaient, sauts, saut, sauterai, sauta, sautée, sautait, sautez",411,6,411,8.344400543183339,8,131,27
dessins,122,122,8.639344262295081,NA,64,NA,7,French (Quebecois),2043005,dessin,draw,16,"dessins, dessiner, dessin, dessinées, dessine, dessiné, dessinés, dessines, dessinait, dessinée, dessinez, dessinais, dessinera, dessineras, dessina, dessinerai",1330,8.125,1330,7.563952829478728,9,518,22
mon,3718,3718,7.600053792361485,3,27,206,3,French (Quebecois),2043005,mon,my,1,mon,3718,3,3718,7.600053792361485,3,27,206
