word,wordcount,frequency_word,mlu_word,solo_word,final_word,initial_word,charactercount,language,totalcount
hm,14,14,4.785714285714286,6,1,5,2,Spanish (Mexican),1263959
aj,23,23,1.8695652173913044,12,5,6,2,Spanish (Mexican),1263959
um,635,635,2.631496062992126,329,146,129,2,Spanish (Mexican),1263959
el,26228,26228,6.971328351380205,80,182,5614,2,Spanish (Mexican),1263959
panal,1,1,2,NA,1,NA,5,Spanish (Mexican),1263959
si,5663,5663,7.61310259579728,593,213,1552,2,Spanish (Mexican),1263959
sí,13631,13631,3.0688870955909326,6692,2360,3353,2,Spanish (Mexican),1263959
dime,711,711,6.7735583684950775,102,70,254,4,Spanish (Mexican),1263959
ajá,323,323,1.6439628482972137,249,8,66,3,Spanish (Mexican),1263959
qué,36528,36528,4.812335742444152,1323,2848,13888,3,Spanish (Mexican),1263959
pasa,2059,2059,5.309373482272948,56,970,56,4,Spanish (Mexican),1263959
y,39816,39816,7.0150944343982315,267,245,26339,1,Spanish (Mexican),1263959
ujúm,67,67,1.044776119402985,65,NA,2,4,Spanish (Mexican),1263959
ay,3686,3686,3.549647314161693,1560,244,1703,2,Spanish (Mexican),1263959
uh,379,379,1.7493403693931397,303,19,50,2,Spanish (Mexican),1263959
onda,7,7,7.142857142857143,NA,5,NA,4,Spanish (Mexican),1263959
eso,7430,7430,4.884118438761776,598,1799,3061,3,Spanish (Mexican),1263959
paco,40,40,5.9,5,17,6,4,Spanish (Mexican),1263959
de,19510,19510,8.151512045105074,49,233,2684,2,Spanish (Mexican),1263959
abejas,13,13,3.6153846153846154,2,7,NA,6,Spanish (Mexican),1263959
ya,8419,8419,5.809597339351467,479,985,3543,2,Spanish (Mexican),1263959
a,32832,32832,7.597831384015595,256,266,7029,1,Spanish (Mexican),1263959
ver,2694,2694,6.120638455827765,4,1066,7,3,Spanish (Mexican),1263959
tú,8362,8362,6.389858885434107,130,2132,2093,2,Spanish (Mexican),1263959
pasas,56,56,7.517857142857143,1,10,1,5,Spanish (Mexican),1263959
las,5928,5928,7.644568151147099,17,41,851,3,Spanish (Mexican),1263959
hojas,83,83,7.0120481927710845,NA,39,4,5,Spanish (Mexican),1263959
eh,5725,5725,4.390567685589519,2377,2332,533,2,Spanish (Mexican),1263959
bien,10546,10546,4.0231367343068465,620,7120,124,4,Spanish (Mexican),1263959
mira,17515,17515,4.089694547530688,5832,2445,7230,4,Spanish (Mexican),1263959
uy,1645,1645,2.7556231003039513,1049,59,481,2,Spanish (Mexican),1263959
la,31496,31496,7.327311404622809,90,229,4565,2,Spanish (Mexican),1263959
botella,34,34,5.823529411764706,2,15,NA,7,Spanish (Mexican),1263959
ah,7490,7490,4.255140186915888,2210,87,5034,2,Spanish (Mexican),1263959
muy,9140,9140,4.515098468271335,6,18,5525,3,Spanish (Mexican),1263959
yunuel,1,1,3,NA,1,NA,6,Spanish (Mexican),1263959
bueno,4236,4236,6.149905571293673,523,616,2322,5,Spanish (Mexican),1263959
unos,369,369,8.5420054200542,6,10,67,4,Spanish (Mexican),1263959
calcetines,89,89,5.191011235955056,7,43,1,10,Spanish (Mexican),1263959
okey,235,235,6.0638297872340425,30,52,96,4,Spanish (Mexican),1263959
cuando,1840,1840,10.119565217391305,6,41,433,6,Spanish (Mexican),1263959
