word,wordcount,frequency_word,mlu_word,solo_word,final_word,initial_word,charactercount,language,totalcount,stem,language.y,uni_lemma,nb_realisations_lemma,words_lemma,sum_wordcount_lemma,mean_character_count_lemma,frequency,MLU,solo_frequency,final_frequency,initial_frequency
tenerlas,3,3,9.666666666666666,NA,1,NA,8,Spanish (Mexican),1260545,ten,spanish_(mexican),have,23,"tenías, ten, tenía, tener, tenemos, tenido, teníamos, tenéis, tenían, tenan, tene, tenerlo, teniendo, tenerme, tenerlas, tened, teníais, tenen, tenir, tenerla, teneís, tenerlos, teniéndolo",2350,6.260869565217392,2350,7.15172261681408,67,217,376
sacarlas,1,1,5,NA,NA,NA,8,Spanish (Mexican),1260545,sac,spanish_(mexican),take out,33,"saca, sacó, saco, sacar, sacando, sacas, sacamos, sacábamos, sacado, sacaba, sacara, sacase, sacándome, sacaban, sacarlo, sacarle, sacarlas, sacaste, sacarles, sacarlos, sacarla, sacan, sacáis, sace, sacadas, sacár, sacarás, sacarán, sacaron, sacarme, sacos, sacándole, sacarse",775,6.454545454545454,775,8.55911217107002,12,169,90
cenada,1,1,7,NA,NA,NA,6,Spanish (Mexican),1260545,cen,spanish_(mexican),eat dinner,16,"cenar, cena, cenado, cenas, cenes, cenando, cenabas, cenaste, cenada, cene, cenarás, cenamos, cenaras, cenabais, cen, cenó",279,5.75,279,6.530328798185941,6,159,5
cocinas,4,4,6.5,NA,1,NA,7,Spanish (Mexican),1260545,cocin,spanish_(mexican),kitchen,9,"cocina, cocinar, cocinando, cocinas, cocinarlo, cocinica, cocinan, cocinaba, cocinamos",541,7.777777777777778,541,5.931854043392505,5,264,5
cerrarlo,7,7,5.428571428571429,NA,5,NA,8,Spanish (Mexican),1260545,cerr,spanish_(mexican),close,19,"cerrar, cerremos, cerrada, cerrado, cerro, cerramos, cerró, cerrarlo, cerrando, cerrados, cerrarla, cerrará, cerrábamos, cerraron, cerrarlos, cerraste, cerrarle, cerrara, cerrad",310,7.421052631578948,310,6.770880015149118,16,139,17
calcetín,74,74,NA,4,38,1,8,Spanish (Mexican),1260545,calcetin,spanish_(mexican),sock,2,"calcetines, calcetín",163,9,163,NA,12,81,2
baile,11,11,7.909090909090909,NA,7,NA,5,Spanish (Mexican),1260545,bail,spanish_(mexican),dance,18,"bailas, baila, bailar, bailando, bailan, bailado, baile, bailaban, bailaste, bailo, bailamos, bailarás, bailaba, bailábamos, bailabais, bailáis, bailasteis, bailes",168,7.166666666666667,168,5.074736201298701,11,87,13
queriendo,2,2,6.5,NA,2,NA,9,Spanish (Mexican),1260545,quer,spanish_(mexican),wanna,15,"querías, quería, queremos, queráis, querer, queríamos, querían, queréis, queramos, querido, queriendo, querida, queríais, quer, quererlo",537,7.2,537,7.6430078091842795,7,92,49
enseñe,35,35,8.2,NA,5,NA,6,Spanish (Mexican),1260545,enseñ,spanish_(mexican),show,30,"enseñó, enseña, enseñado, enseño, enseñan, enseñas, enseñar, enseñarlo, enseñando, enseñarle, enseñara, enseñaban, enseñamos, enseñe, enseñes, enseñen, enseñarles, enseñaré, enseñarás, enseñaste, enseñemos, enseñaron, enseñárselo, enseñarán, enseñarme, enseñaríais, enseñárselos, enseñé, enseñaba, enseñarla",598,8.3,598,8.424782265618605,3,178,4
paren,1,1,9,NA,NA,NA,5,Spanish (Mexican),1260545,par,spanish_(mexican),for,28,"para, par, pared, paras, paro, parada, paramos, paraba, pararme, pares, paran, paraban, paré, parar, parado, paren, pare, pararon, parara, paró, paremos, pararlo, parís, parados, paradas, parió, pararlos, parir",6300,5.571428571428571,6300,8.301077310223652,86,186,1694
suban,4,4,9.5,NA,NA,NA,5,Spanish (Mexican),1260545,sub,spanish_(mexican),climb,33,"sube, subo, subido, subimos, subas, subida, subíamos, suben, subidas, subirlas, subirme, subían, subiendo, subir, subes, subía, subirá, suban, subirlos, subirla, subirnos, suba, subirse, subiré, subió, subirle, subí, subiste, subiéndose, subamos, subiros, subieron, subías",762,6.303030303030303,762,7.437509392278646,43,167,52
bomba,27,27,7.185185185185185,NA,15,1,5,Spanish (Mexican),1260545,bomb,spanish_(mexican),balloon,4,"globo, globos, bombas, bomba",301,5.5,301,5.585272798736959,15,148,8
paja,16,16,11.3125,NA,10,NA,4,Spanish (Mexican),1260545,paj,spanish_(mexican),bird,12,"paje, pájaros, pájaro, pajaricos, paja, pajarico, pajas, pajes, pajares, pajaros, pajaro, pajar",286,6.083333333333333,286,6.206967401285583,18,176,1
pintados,4,4,9.75,NA,3,NA,8,Spanish (Mexican),1260545,pint,spanish_(mexican),paint (action),29,"pintado, pintando, pinto, pintar, pinta, pintamos, pintes, pintas, pintan, pintada, pintaba, pintemos, pinte, pínta, pintaste, pintarle, pintarlo, pintó, pintados, pintadas, pintarles, pintaran, pintéis, pintáis, pintaría, pintarla, pintarlas, pintarnos, pintarse",1317,7.137931034482759,1317,6.4263390989424884,38,533,90
