word,wordcount,frequency_word,mlu_word,solo_word,final_word,initial_word,charactercount,language,totalcount
se,3096,3096,NA,409,749,526,2,Danish,194787
gyga,1,1,1,1,NA,NA,4,Danish,194787
gynggang,26,26,1.1538461538461537,24,2,NA,8,Danish,194787
hov,818,818,NA,673,17,128,3,Danish,194787
men,965,965,NA,19,16,447,3,Danish,194787
ved,844,844,NA,9,30,183,3,Danish,194787
du,7917,7917,NA,98,354,930,2,Danish,194787
hvad,5322,5322,NA,1307,393,2502,4,Danish,194787
det,10741,10741,NA,110,1870,3768,3,Danish,194787
er,9775,9775,NA,84,286,1085,2,Danish,194787
kaffe,59,59,NA,1,38,1,5,Danish,194787
her,1804,1804,NA,128,1062,106,3,Danish,194787
saftevand,14,14,4.285714285714286,NA,10,1,9,Danish,194787
hm,86,86,NA,77,8,1,2,Danish,194787
kan,4161,4161,NA,55,70,1725,3,Danish,194787
selv,157,157,NA,1,50,5,4,Danish,194787
skal,4630,4630,NA,51,43,2033,4,Danish,194787
jeg,3033,3033,NA,28,188,721,3,Danish,194787
lige,1144,1144,NA,32,42,50,4,Danish,194787
tørre,40,40,6.525,2,5,4,5,Danish,194787
dig,710,710,NA,9,317,1,3,Danish,194787
om,559,559,NA,11,93,46,2,Danish,194787
munden,46,46,7.260869565217392,1,34,NA,6,Danish,194787
skulle,170,170,8.488235294117647,1,3,28,6,Danish,194787
egentlig,20,20,7.85,1,1,NA,8,Danish,194787
have,959,959,NA,10,123,6,4,Danish,194787
haft,15,15,8.533333333333333,NA,1,NA,4,Danish,194787
en,4172,4172,NA,72,610,484,2,Danish,194787
hagesmæk,2,2,8,NA,NA,NA,8,Danish,194787
på,2075,2075,NA,32,613,84,2,Danish,194787
erik,67,67,4.477611940298507,3,21,NA,4,Danish,194787
fik,81,81,NA,1,4,12,3,Danish,194787
den,7218,7218,NA,115,1371,1350,3,Danish,194787
ikke,4883,4883,NA,136,817,265,4,Danish,194787
blive,87,87,7.528735632183908,NA,1,4,5,Danish,194787
siddende,12,12,6.083333333333333,NA,4,NA,8,Danish,194787
anne,1218,1218,NA,317,723,122,4,Danish,194787
der,4651,4651,NA,193,1395,913,3,Danish,194787
flere,98,98,7.26530612244898,NA,25,3,5,Danish,194787
banan,11,11,5.454545454545454,1,5,NA,5,Danish,194787
få,422,422,NA,4,11,7,2,Danish,194787
et,886,886,NA,13,25,93,2,Danish,194787
stykke,44,44,NA,4,7,NA,6,Danish,194787
franskbrød,2,2,5,NA,2,NA,10,Danish,194787
