word,wordcount,frequency_word,mlu_word,solo_word,final_word,initial_word,charactercount,language,totalcount,stem,language.y,uni_lemma,nb_realisations_lemma,words_lemma,sum_wordcount_lemma,mean_character_count_lemma,frequency,MLU,solo_frequency,final_frequency,initial_frequency
gledao,30,30,8.066666666666666,1,7,NA,6,Croatian,224755,gleda,Croatian,look,13,"gledao, gledaš, gleda, gledaj, gledati, gledala, gledaju, gledali, gledam, gledate, gledat, gledo, gledamo",579,6.3076923076923075,579,7.0026475324429285,68,147,88
nema,355,355,NA,29,62,156,4,Croatian,224755,nem,Croatian,all gone,7,"nema, nemoj, nemamo, nemam, nemaš, nemate, nemaju",1174,5.285714285714286,1174,5.898148148148148,80,144,533
nema,355,355,NA,29,62,156,4,Croatian,224755,nem,Croatian,don't,2,"nema, nemoj",990,4.5,990,NA,57,129,470
kako,2151,2151,NA,104,32,359,4,Croatian,224755,kak,Croatian,cacao,12,"kako, kak, kakati, kakaj, kakala, kaka, kakat, kakalo, kakao, kakaa, kakali, kakaju",2308,5.083333333333333,2308,5.043123336291038,114,78,375
kako,2151,2151,NA,104,32,359,4,Croatian,224755,kak,Croatian,how,3,"kako, kak, kaka",2217,3.6666666666666665,2217,8.17142857142857,107,45,371
gledaš,44,44,NA,2,16,4,6,Croatian,224755,gleda,Croatian,look,13,"gledao, gledaš, gleda, gledaj, gledati, gledala, gledaju, gledali, gledam, gledate, gledat, gledo, gledamo",579,6.3076923076923075,579,7.0026475324429285,68,147,88
sliku,12,12,5.5,1,7,NA,5,Croatian,224755,slik,Croatian,picture,11,"sliku, slikama, slike, slika, slikam, slikaj, sliki, slikala, slikali, slikamo, slikovi",60,6.090909090909091,60,5.431168831168831,6,28,7
slikama,3,3,6.333333333333333,NA,3,NA,7,Croatian,224755,slik,Croatian,picture,11,"sliku, slikama, slike, slika, slikam, slikaj, sliki, slikala, slikali, slikamo, slikovi",60,6.090909090909091,60,5.431168831168831,6,28,7
gleda,106,106,NA,7,26,16,5,Croatian,224755,gled,Croatian,look,13,"gledao, gledaš, gleda, gledaj, gledati, gledala, gledaju, gledali, gledam, gledate, gledat, gledo, gledamo",579,6.3076923076923075,579,7.0026475324429285,68,147,88
žabu,4,4,2.75,1,3,NA,4,Croatian,224755,žab,Croatian,frog,3,"žaba, žabe, žabu",15,4,15,3.988095238095238,1,13,0
ono,257,257,NA,4,34,22,3,Croatian,224755,on,Croatian,that,14,"oni, on, ono, onu, ona, one, onoj, onom, onog, onoga, onim, onih, onima, onome",1522,3.7142857142857144,1522,11.848140212670794,23,108,315
ovoj,34,34,9.970588235294118,NA,1,NA,4,Croatian,224755,ov,Croatian,this,13,"ovo, ovoj, ovu, ovog, ove, ova, ovoga, ovim, ovi, ovom, ovih, ovima, ov",2453,3.6153846153846154,2453,6.2317146845966995,93,562,479
polako,95,95,NA,20,41,9,6,Croatian,224755,polak,Croatian,slow,1,polako,95,6,95,NA,20,41,9
