item_id,category,definition,gloss,uni_lemma,language
item_413,people,*nagybácsi,uncle,uncle,Hungarian
item_414,people,*nagynéni,aunt,aunt,Hungarian
item_415,people,*nagypapa,grandpa,grandpa,Hungarian
item_416,people,néni,lady,lady,Hungarian
item_417,people,öcs/báty,brother,brother,Hungarian
item_418,people,orvos / doktor,doctor,doctor,Hungarian
item_419,people,**óvónéni,kindergarten teacher,teacher,Hungarian
item_420,people,** az óvónéni neve,name of the child's kindergarten teacher,,Hungarian
item_421,people,postás,mailman,,Hungarian
item_422,people,rendőr,police,policeman,Hungarian
item_423,people,tanár,teacher,teacher,Hungarian
item_424,people,tűzoltó,fireman,,Hungarian
item_425,games_routines,*bújócska / kukucs,peekaboo,peekaboo,Hungarian
item_426,games_routines,*csapj bele! / pacsi,give me five!,,Hungarian
item_427,games_routines,csókolom,handkiss (as a greeting toward adults),hello,Hungarian
item_428,games_routines,ebéd,lunch,lunch,Hungarian
item_429,games_routines,*ez elment vadászni,this little piggy,,Hungarian
item_430,games_routines,fogócska,tag (game),,Hungarian
item_431,games_routines,fürdés,bath,bath,Hungarian
item_432,games_routines,halló,hallo (answering the telephone),hello,Hungarian
item_433,games_routines,helló,hello,hello,Hungarian
item_434,games_routines,igen,yes,yes,Hungarian
item_435,games_routines,jó éjt!,night night,good night,Hungarian
item_436,games_routines,jó estét!,good night,good night,Hungarian
item_437,games_routines,jó étvágyat!,good appetite,,Hungarian
item_438,games_routines,jó napot!,good morning (during the day),good morning,Hungarian
item_439,games_routines,jó reggelt!,good morning (during the morning),good morning,Hungarian
item_440,games_routines,kérem,please,please,Hungarian
item_441,games_routines,kész,ready (done),,Hungarian
item_442,games_routines,köszönöm / kösz(i),thank you,thank you,Hungarian
item_443,games_routines,nem,no,no,Hungarian
item_444,games_routines,pisilni kell,go potty,go potty,Hungarian
item_445,games_routines,psszt,shh/shush/hush,shh,Hungarian
item_446,games_routines,reggeli,breakfast,breakfast,Hungarian
item_447,games_routines,szia,hi,hi,Hungarian
item_448,games_routines,szívesen,you're welcome,,Hungarian
item_449,games_routines,*szundi,nap,nap,Hungarian
item_450,games_routines,telefon!,call (on phone),,Hungarian
item_451,games_routines,tízórai,mid-morning snack,,Hungarian
item_452,games_routines,vacsora,dinner,dinner,Hungarian
item_453,games_routines,vásárlás,shopping,,Hungarian
item_454,games_routines,viszlát,bye,bye,Hungarian
item_455,action_words,abbahagy,stop (doing sg),stop,Hungarian
item_456,action_words,ad,give,give,Hungarian
item_457,action_words,akar,want,,Hungarian
item_458,action_words,áll,stand,stand,Hungarian
item_459,action_words,alszik,sleep,sleep,Hungarian
item_460,action_words,bánt,hurt (active),hurt,Hungarian
item_461,action_words,befejez,finish,finish,Hungarian
item_462,action_words,beszél,talk,talk,Hungarian
item_463,action_words,bezár,close,close,Hungarian
item_464,action_words,biciklizik,ride bicycle,,Hungarian
item_465,action_words,csepeg,drip,,Hungarian
item_466,action_words,cseppent,drop (liquid),drop,Hungarian
item_467,action_words,csiklandoz / csikiz,tickle,tickle,Hungarian
item_468,action_words,csinál,make/do,,Hungarian
item_469,action_words,csuk,close,close,Hungarian
item_470,action_words,csúszik,slide,,Hungarian
item_471,action_words,csücsül,sit (IDS word),sit,Hungarian
item_472,action_words,dob/eldob,throw,throw,Hungarian
item_473,action_words,dolgozik,work,,Hungarian
item_474,action_words,eldug,hide,hide,Hungarian
item_475,action_words,elesik,fall,fall,Hungarian
item_476,action_words,elfelejt,forget,,Hungarian
item_477,action_words,eloszt,share,,Hungarian
item_478,action_words,eltép,tear,tear,Hungarian
item_479,action_words,eltör,break,break,Hungarian
item_480,action_words,elvesz,take,take,Hungarian
item_481,action_words,enged,allow,,Hungarian
item_482,action_words,esik,drop,drop,Hungarian
item_483,action_words,énekel,sing,sing,Hungarian
item_484,action_words,épít,build,,Hungarian
item_485,action_words,eszik,eat,eat,Hungarian
item_486,action_words,etet,feed,feed,Hungarian
item_487,action_words,fáj,hurt (as a feeling),hurt,Hungarian
item_488,action_words,fázik,feel cold,,Hungarian
item_489,action_words,fél,feel scared,,Hungarian
item_490,action_words,felébred,wake,wake,Hungarian
item_491,action_words,felkel,get up,get up,Hungarian
item_492,action_words,figyel,pay attention / listen,,Hungarian
item_493,action_words,főz,cook,,Hungarian
item_494,action_words,fröcsköl,splash,splash,Hungarian
item_495,action_words,fúj,blow,blow,Hungarian
item_496,action_words,fut,run,run,Hungarian
item_497,action_words,fürdik,take bath,,Hungarian
item_498,action_words,gondol,think,,Hungarian
item_499,action_words,hagy,let,,Hungarian
item_500,action_words,hall,hear,hear,Hungarian
item_501,action_words,hallgat,listen,,Hungarian
item_502,action_words,harap,bite,bite,Hungarian
item_503,action_words,hív,call,,Hungarian
item_504,action_words,hintázik,swing,,Hungarian
item_505,action_words,hoz,bring,bring,Hungarian
item_506,action_words,hozzányúl/ér,touch,touch,Hungarian
item_507,action_words,húz,pull,pull,Hungarian
item_508,action_words,ír,write,write,Hungarian
item_509,action_words,itat,water (= give drink),,Hungarian
item_510,action_words,jár,walk,walk,Hungarian
item_511,action_words,iszik,drink,,Hungarian
item_512,action_words,játszik,play,play,Hungarian
item_513,action_words,jön,come,come,Hungarian
item_514,action_words,kakil,poop,poop,Hungarian
item_515,action_words,kap,get,get,Hungarian
item_516,action_words,kapcsol,switch,,Hungarian
item_517,action_words,kér,ask (to do sg),,Hungarian
item_518,action_words,kerget,chase,,Hungarian
item_519,action_words,kinyit,open,open,Hungarian
item_520,action_words,kopog,knock,,Hungarian
item_521,action_words,kóstol,taste,,Hungarian
item_522,action_words,labdázik,play ball,,Hungarian
item_523,action_words,lát,see,see,Hungarian
item_524,action_words,lesz,will' (future tense of verb 'be'),,Hungarian
item_525,action_words,lép,step,,Hungarian
item_526,action_words,lovagol,ride,ride,Hungarian
item_527,action_words,lök,bump,bump (action),Hungarian
item_528,action_words,marad,stay,,Hungarian
item_529,action_words,mászik,climb,climb,Hungarian
item_530,action_words,megáll,stop (moving),stop,Hungarian
item_531,action_words,megcsinál,make/do (perfective),,Hungarian
item_532,action_words,megfog,catch,catch,Hungarian
item_533,action_words,megnő,grow,,Hungarian
item_534,action_words,megölel,hug,hug,Hungarian
item_535,action_words,megüt,hit,hit,Hungarian
item_536,action_words,megy,go,go,Hungarian
item_537,action_words,mos,wash,wash,Hungarian
item_538,action_words,mosogat,wash (dishes),wash,Hungarian
item_539,action_words,mesél,tell a story,,Hungarian
item_540,action_words,mond,say,say,Hungarian
item_541,action_words,mosolyog,smile,smile,Hungarian
item_542,action_words,mutat,show,show,Hungarian
item_543,action_words,nevet,laugh,laugh,Hungarian
item_544,action_words,néz,look/watch,,Hungarian
item_545,action_words,nyal,lick,lick,Hungarian
item_546,action_words,olvas,read,read,Hungarian
item_547,action_words,önt,pour,,Hungarian
item_548,action_words,nincs,not exist (negative of verb 'be'),,Hungarian
item_549,action_words,pisil,pee,pee,Hungarian
item_550,action_words,puszil,kiss,kiss,Hungarian
item_551,action_words,rajzol,draw,draw,Hungarian
