id,word,language,form,type,category,lexical_category,lexical_class,uni_lemma,aoa_in_seconds,aoa,lemma,stem_lemma,corrected_pos,on_cdi
0,daddy (child's word),English (American),WG,daddy+n,people,other,other,daddy,29808000,345,daddy,daddy,n,TRUE
1,mommy (child's word),English (American),WG,mommy+n,people,other,other,mommy,30240000,350,mommy,mommy,n,TRUE
2,bye,English (American),WG,bye+other,games_routines,other,other,bye,35164800,407,bye,bye,other,TRUE
3,uh oh,English (American),WG,uh oh+other,sounds,other,other,uh oh,36374400,421,uh oh,uh oh,other,TRUE
4,hi,English (American),WG,hi+other,games_routines,other,other,hi,37238400,431,hi,hi,other,TRUE
5,ball,English (American),WG,ball+n,toys,nouns,nouns,ball,37411200,433,ball,ball,n,TRUE
6,dog,English (American),WG,dog+n,animals,nouns,nouns,dog,38966400,451,dog,dog,n,TRUE
7,no,English (American),WG,no+other,games_routines,other,other,no,39312000,455,no,no,other,TRUE
8,woof woof,English (American),WG,woof woof+other,sounds,other,other,woof woof,39916800,462,woof woof,woof woof,other,TRUE
9,yum yum,English (American),WG,yum yum+other,sounds,other,other,yum yum,41040000,475,yum yum,yum yum,other,TRUE
10,baby,English (American),WG,baby+n,people,other,other,baby,41212800,477,baby,baby,n,TRUE
11,book,English (American),WG,book+n,toys,nouns,nouns,book,41990400,486,book,book,n,TRUE
12,grrr,English (American),WG,grrr+other,sounds,other,other,grrr,42076800,487,grrr,grrr,other,TRUE
13,moo,English (American),WG,moo+other,sounds,other,other,moo,42076800,487,moo,moo,other,TRUE
14,meow,English (American),WG,meow+v,sounds,other,other,meow,42595200,493,meow,meow,v,TRUE
15,banana,English (American),WG,banana+n,food_drink,nouns,nouns,banana,42595200,493,banana,banana,n,TRUE
16,vroom,English (American),WS,vroom+other,sounds,other,other,vroom,42595200,493,vroom,vroom,other,TRUE
17,shoe,English (American),WG,shoe+n,clothing,nouns,nouns,shoe,42940800,497,shoe,shoe,n,TRUE
18,duck,English (American),WS,duck+n,animals,nouns,nouns,duck,43372800,502,duck,duck,n,TRUE
19,bird,English (American),WS,bird+n,animals,nouns,nouns,bird,43545600,504,bird,bird,n,TRUE
20,eye,English (American),WS,eye+n,body_parts,nouns,nouns,eye,43977600,509,eye,eye,n,TRUE
21,nose,English (American),WS,nose+n,body_parts,nouns,nouns,nose,44150400,511,nose,nose,n,TRUE
22,balloon,English (American),WS,balloon+n,toys,nouns,nouns,balloon,44409600,514,balloon,balloon,n,TRUE
23,ouch,English (American),WS,ouch+n,sounds,other,other,ouch,44496000,515,ouch,ouch,n,TRUE
24,quack quack,English (American),WS,quack quack+other,sounds,other,other,quack quack,44582400,516,quack quack,quack quack,other,TRUE
25,car,English (American),WS,car+n,vehicles,nouns,nouns,car,44668800,517,car,car,n,TRUE
26,hot,English (American),WS,hot+a,descriptive_words,predicates,adjectives,hot,45014400,521,hot,hot,a,TRUE
27,kitty,English (American),WS,kitty+n,animals,nouns,nouns,kitty,45100800,522,kitty,kitty,n,TRUE
28,baa baa,English (American),WG,baa baa+other,sounds,other,other,baa baa,45273600,524,baa baa,baa baa,other,TRUE
29,juice,English (American),WS,juice+n,food_drink,nouns,nouns,juice,45273600,524,juice,juice,n,TRUE
30,night night,English (American),WS,good night+other,games_routines,other,other,good night,45273600,524,good night,good night,other,TRUE
31,grandma (child's word),English (American),WS,grandma+n,people,other,other,grandma,45360000,525,grandma,grandma,n,TRUE
32,cat,English (American),WS,cat+n,animals,nouns,nouns,cat,45532800,527,cat,cat,n,TRUE
33,cookie,English (American),WS,cookie+n,food_drink,nouns,nouns,cookie,46396800,537,cookie,cookie,n,TRUE
34,thank you,English (American),WS,thank you+other,games_routines,other,other,thank you,46483200,538,thank you,thank you,other,TRUE
35,cheese,English (American),WS,cheese+n,food_drink,nouns,nouns,cheese,46569600,539,cheese,cheese,n,TRUE
36,milk,English (American),WS,milk+n,food_drink,nouns,nouns,milk,46569600,539,milk,milk,n,TRUE
37,ear,English (American),WS,ear+n,body_parts,nouns,nouns,ear,46569600,539,ear,ear,n,TRUE
38,bath,English (American),WS,bath+n,games_routines,other,other,bath,46569600,539,bath,bath,n,TRUE
39,bubbles,English (American),WS,bubble+n,toys,nouns,nouns,bubbles,46828800,542,bubbles,bubble,n,TRUE
40,apple,English (American),WS,apple+n,food_drink,nouns,nouns,apple,46915200,543,apple,apple,n,TRUE
41,yes,English (American),WS,yes+other,games_routines,other,other,yes,46915200,543,yes,yes,other,TRUE
42,hat,English (American),WS,hat+n,clothing,nouns,nouns,hat,47606400,551,hat,hat,n,TRUE
43,grandpa (child's word),English (American),WS,grandpa+n,people,other,other,grandpa,48038400,556,grandpa,grandpa,n,TRUE
44,bottle,English (American),WS,bottle+n,household,nouns,nouns,bottle,48124800,557,bottle,bottle,n,TRUE
45,hello,English (American),WS,hello+n,games_routines,other,other,hello,48297600,559,hello,hello,n,TRUE
46,shh/shush/hush,English (American),WS,shh+other,games_routines,other,other,shh,48470400,561,shh,shh,other,TRUE
47,fish (animal),English (American),WS,fish+n,animals,nouns,nouns,fish,48643200,563,fish,fish,n,TRUE
48,up,English (American),WS,up+r,locations,function_words,function_words,up,48643200,563,up,up,r,TRUE
49,please,English (American),WS,please+other,games_routines,other,other,please,48729600,564,please,please,other,TRUE
50,all gone,English (American),WS,all gone+a,descriptive_words,predicates,adjectives,all gone,48816000,565,all gone,all gone,a,TRUE
51,truck,English (American),WS,truck+n,vehicles,nouns,nouns,truck,48902400,566,truck,truck,n,TRUE
52,bear,English (American),WS,bear+n,animals,nouns,nouns,bear,49075200,568,bear,bear,n,TRUE
53,cracker,English (American),WS,cracker+n,food_drink,nouns,nouns,cracker,49075200,568,cracker,cracker,n,TRUE
54,peekaboo,English (American),WS,peekaboo+other,games_routines,other,other,peekaboo,49075200,568,peekaboo,peekaboo,other,TRUE
55,water (beverage),English (American),WS,water+n,food_drink,nouns,nouns,water,49161600,569,water,water,n,TRUE
56,owie/boo boo,English (American),WS,owie+n,body_parts,nouns,nouns,owie,49507200,573,owie,owie,n,TRUE
57,choo choo,English (American),WS,choo choo+other,sounds,other,other,choo choo,49593600,574,choo choo,choo choo,other,TRUE
58,diaper,English (American),WS,diaper+n,clothing,nouns,nouns,diaper,49852800,577,diaper,diaper,n,TRUE
59,go,English (American),WS,go+v,action_words,predicates,verbs,go,50198400,581,go,go,v,TRUE
60,cup,English (American),WS,cup+n,household,nouns,nouns,cup,50284800,582,cup,cup,n,TRUE
61,water (not beverage),English (American),WS,water+n,outside,nouns,nouns,water (not beverage),50544000,585,water,water,n,TRUE
62,down,English (American),WS,down+r,locations,function_words,function_words,down,50630400,586,down,down,r,TRUE
63,hair,English (American),WS,hair+n,body_parts,nouns,nouns,hair,50716800,587,hair,hair,n,TRUE
64,child's own name,English (American),WS,child's own name+other,people,other,other,child's own name,51148800,592,child's own name,child's own name,other,TRUE
65,cow,English (American),WS,cow+n,animals,nouns,nouns,cow,51321600,594,cow,cow,n,TRUE
66,more,English (American),WS,more+r,quantifiers,function_words,function_words,more,51321600,594,more,more,r,TRUE
67,outside,English (American),WS,outside+r,places,other,other,outside,51494400,596,outside,outside,r,TRUE
68,spoon,English (American),WS,spoon+n,household,nouns,nouns,spoon,51667200,598,spoon,spoon,n,TRUE
69,mine,English (American),WS,mine+r,pronouns,function_words,function_words,mine,51667200,598,mine,mine,r,TRUE
70,door,English (American),WS,door+n,furniture_rooms,nouns,nouns,door,51840000,600,door,door,n,TRUE
71,eat,English (American),WS,eat+v,action_words,predicates,verbs,eat,51926400,601,eat,eat,v,TRUE
72,airplane,English (American),WS,airplane+n,vehicles,nouns,nouns,airplane,52012800,602,airplane,airplane,n,TRUE
73,tree,English (American),WS,tree+n,outside,nouns,nouns,tree,52012800,602,tree,tree,n,TRUE
74,mouth,English (American),WS,mouth+n,body_parts,nouns,nouns,mouth,52099200,603,mouth,mouth,n,TRUE
75,light,English (American),WS,light+n,household,nouns,nouns,light,52444800,607,light,light,n,TRUE
76,horse,English (American),WS,horse+n,animals,nouns,nouns,horse,52704000,610,horse,horse,n,TRUE
77,belly button,English (American),WS,belly button+n,body_parts,nouns,nouns,belly button,52704000,610,belly button,belly button,n,TRUE
78,flower,English (American),WS,flower+n,outside,nouns,nouns,flower,52704000,610,flower,flower,n,TRUE
79,blanket,English (American),WS,blanket+n,household,nouns,nouns,blanket,52790400,611,blanket,blanket,n,TRUE
80,bunny,English (American),WS,bunny+n,animals,nouns,nouns,bunny,52876800,612,bunny,bunny,n,TRUE
81,sock,English (American),WS,sock+n,clothing,nouns,nouns,sock,53136000,615,sock,sock,n,TRUE
82,boat,English (American),WS,boat+n,vehicles,nouns,nouns,boat,53222400,616,boat,boat,n,TRUE
83,bed,English (American),WS,bed+n,furniture_rooms,nouns,nouns,bed,53308800,617,bed,bed,n,TRUE
84,puppy,English (American),WS,puppy+n,animals,nouns,nouns,puppy,53481600,619,puppy,puppy,n,TRUE
85,pig,English (American),WS,pig+n,animals,nouns,nouns,pig,53568000,620,pig,pig,n,TRUE
86,chair,English (American),WS,chair+n,furniture_rooms,nouns,nouns,chair,53568000,620,chair,chair,n,TRUE
87,moon,English (American),WS,moon+n,outside,nouns,nouns,moon,53568000,620,moon,moon,n,TRUE
88,bus,English (American),WS,bus+n,vehicles,nouns,nouns,bus,53913600,624,bus,bus,n,TRUE
89,foot,English (American),WS,foot+n,body_parts,nouns,nouns,foot,54000000,625,foot,foot,n,TRUE
90,toe,English (American),WS,toe+n,body_parts,nouns,nouns,toe,54000000,625,toe,toe,n,TRUE
91,train,English (American),WS,train+n,vehicles,nouns,nouns,train,54259200,628,train,train,n,TRUE
92,bee,English (American),WS,bee+n,animals,nouns,nouns,bee,54345600,629,bee,bee,n,TRUE
93,cold,English (American),WS,cold+a,descriptive_words,predicates,adjectives,cold,54432000,630,cold,cold,a,TRUE
94,drink (beverage),English (American),WS,drink+n,food_drink,nouns,nouns,drink,54518400,631,drink,drink,n,TRUE
95,keys,English (American),WS,key+n,household,nouns,nouns,keys,54518400,631,keys,key,n,TRUE
96,telephone,English (American),WS,telephone+n,household,nouns,nouns,telephone,54518400,631,telephone,telephone,n,TRUE
97,potty,English (American),WS,potty+n,furniture_rooms,nouns,nouns,potty,54518400,631,potty,potty,n,TRUE
98,hand,English (American),WS,hand+n,body_parts,nouns,nouns,hand,54691200,633,hand,hand,n,TRUE
99,drink (action),English (American),WS,drink+v,action_words,predicates,verbs,drink,54777600,634,drink,drink,v,TRUE
100,kiss,English (American),WS,kiss+v,action_words,predicates,verbs,kiss,54777600,634,kiss,kiss,v,TRUE
101,pet's name,English (American),WS,pet's name+other,people,other,other,pet's name,54864000,635,pet's name,pet's name,other,TRUE
102,bug,English (American),WS,bug+n,animals,nouns,nouns,bug,55209600,639,bug,bug,n,TRUE
103,monkey,English (American),WS,monkey+n,animals,nouns,nouns,monkey,55296000,640,monkey,monkey,n,TRUE
104,block,English (American),WS,block+n,toys,nouns,nouns,block,55296000,640,block,block,n,TRUE
105,toy (object),English (American),WS,toy+n,toys,nouns,nouns,toy,55296000,640,toy,toy,n,TRUE
106,tummy,English (American),WS,tummy+n,body_parts,nouns,nouns,tummy,55382400,641,tummy,tummy,n,TRUE
107,pizza,English (American),WS,pizza+n,food_drink,nouns,nouns,pizza,55468800,642,pizza,pizza,n,TRUE
108,off,English (American),WS,off+r,locations,function_words,function_words,off,55468800,642,off,off,r,TRUE
109,head,English (American),WS,head+n,body_parts,nouns,nouns,head,55555200,643,head,head,n,TRUE
110,toothbrush,English (American),WS,toothbrush+n,household,nouns,nouns,toothbrush,55641600,644,toothbrush,toothbrush,n,TRUE
111,bread,English (American),WS,bread+n,food_drink,nouns,nouns,bread,55814400,646,bread,bread,n,TRUE
112,bicycle,English (American),WS,bicycle+n,vehicles,nouns,nouns,bicycle,55900800,647,bicycle,bicycle,n,TRUE
113,TV,English (American),WS,tv+n,furniture_rooms,nouns,nouns,tv,55900800,647,tv,tv,n,TRUE
114,home,English (American),WS,home+n,places,other,other,home,55900800,647,home,home,n,TRUE
115,shirt,English (American),WS,shirt+n,clothing,nouns,nouns,shirt,56073600,649,shirt,shirt,n,TRUE
116,tooth,English (American),WS,tooth+n,body_parts,nouns,nouns,tooth,56160000,650,tooth,tooth,n,TRUE
117,on,English (American),WS,on+r,locations,function_words,function_words,on,56160000,650,on,on,r,TRUE
118,finger,English (American),WS,finger+n,body_parts,nouns,nouns,finger,56246400,651,finger,finger,n,TRUE
119,swing (object),English (American),WS,swing+n,outside,nouns,nouns,swing,56246400,651,swing,swing,n,TRUE
120,hug,English (American),WS,hug+v,action_words,predicates,verbs,hug,56246400,651,hug,hug,v,TRUE
121,open,English (American),WS,open+v,action_words,predicates,verbs,open (action),56332800,652,open,open,v,TRUE
122,arm,English (American),WS,arm+n,body_parts,nouns,nouns,arm,56419200,653,arm,arm,n,TRUE
123,ice cream,English (American),WS,ice cream+n,food_drink,nouns,nouns,ice cream,56505600,654,ice cream,ice cream,n,TRUE
124,brush,English (American),WS,brush+n,household,nouns,nouns,brush,56505600,654,brush,brush,n,TRUE
125,fork,English (American),WS,fork+n,household,nouns,nouns,fork,56678400,656,fork,fork,n,TRUE
126,sit,English (American),WS,sit+v,action_words,predicates,verbs,sit,56678400,656,sit,sit,v,TRUE
127,yucky,English (American),WS,yucky+a,descriptive_words,predicates,adjectives,yucky,56678400,656,yucky,yucky,a,TRUE
128,doll,English (American),WS,doll+n,toys,nouns,nouns,doll,56764800,657,doll,doll,n,TRUE
129,rock,English (American),WS,rock+n,outside,nouns,nouns,rock,56764800,657,rock,rock,n,TRUE
130,out,English (American),WS,out+r,locations,function_words,function_words,out,56764800,657,out,out,r,TRUE
131,frog,English (American),WS,frog+n,animals,nouns,nouns,frog,56851200,658,frog,frog,n,TRUE
132,cereal,English (American),WS,cereal+n,food_drink,nouns,nouns,cereal,56851200,658,cereal,cereal,n,TRUE
133,egg,English (American),WS,egg+n,food_drink,nouns,nouns,egg,56851200,658,egg,egg,n,TRUE
134,me,English (American),WS,me+r,pronouns,function_words,function_words,me,56851200,658,me,me,r,TRUE
135,grapes,English (American),WS,grape+n,food_drink,nouns,nouns,grapes,56937600,659,grapes,grape,n,TRUE
136,cake,English (American),WS,cake+n,food_drink,nouns,nouns,cake,57024000,660,cake,cake,n,TRUE
137,fish (food),English (American),WS,fish+n,food_drink,nouns,nouns,fish,57024000,660,fish,fish,n,TRUE
138,bathtub,English (American),WS,bathtub+n,furniture_rooms,nouns,nouns,bathtub,57024000,660,bathtub,bathtub,n,TRUE
139,bite,English (American),WS,bite+v,action_words,predicates,verbs,bite,57024000,660,bite,bite,v,TRUE
140,rain,English (American),WS,rain+n,outside,nouns,nouns,rain,57196800,662,rain,rain,n,TRUE
141,buttocks/bottom (child's word),English (American),WS,butt+n,body_parts,nouns,nouns,butt,57283200,663,butt,butt,n,TRUE
142,pants,English (American),WS,pant+n,clothing,nouns,nouns,pants,57369600,664,pants,pant,n,TRUE
143,box,English (American),WS,box+n,household,nouns,nouns,box,57369600,664,box,box,n,TRUE
144,button,English (American),WS,button+n,clothing,nouns,nouns,button,57456000,665,button,button,n,TRUE
145,dirty,English (American),WS,dirty+a,descriptive_words,predicates,adjectives,dirty,57456000,665,dirty,dirty,a,TRUE
146,pillow,English (American),WS,pillow+n,household,nouns,nouns,pillow,57628800,667,pillow,pillow,n,TRUE
147,big,English (American),WS,big+a,descriptive_words,predicates,adjectives,big,57888000,670,big,big,a,TRUE
148,star,English (American),WS,star+n,outside,nouns,nouns,star,57974400,671,star,star,n,TRUE
149,candy,English (American),WS,candy+n,food_drink,nouns,nouns,candy,58060800,672,candy,candy,n,TRUE
150,wet,English (American),WS,wet+a,descriptive_words,predicates,adjectives,wet (description),58060800,672,wet,wet,a,TRUE
151,boots,English (American),WS,boot+n,clothing,nouns,nouns,boots,58147200,673,boots,boot,n,TRUE
152,read,English (American),WS,read+v,action_words,predicates,verbs,read,58147200,673,read,read,v,TRUE
153,soap,English (American),WS,soap+n,household,nouns,nouns,soap,58233600,674,soap,soap,n,TRUE
154,knee,English (American),WS,knee+n,body_parts,nouns,nouns,knee,58320000,675,knee,knee,n,TRUE
155,bowl,English (American),WS,bowl+n,household,nouns,nouns,bowl,58320000,675,bowl,bowl,n,TRUE
156,nap,English (American),WS,nap+n,games_routines,other,other,nap,58320000,675,nap,nap,n,TRUE
157,elephant,English (American),WS,elephant+n,animals,nouns,nouns,elephant,58406400,676,elephant,elephant,n,TRUE
158,coat,English (American),WS,coat+n,clothing,nouns,nouns,coat,58406400,676,coat,coat,n,TRUE
159,walk,English (American),WS,walk+v,action_words,predicates,verbs,walk,58406400,676,walk,walk,v,TRUE
160,chicken (food),English (American),WS,chicken+n,food_drink,nouns,nouns,chicken (food),58492800,677,chicken,chicken,n,TRUE
161,paper,English (American),WS,paper+n,household,nouns,nouns,paper,58492800,677,paper,paper,n,TRUE
162,go potty,English (American),WS,go potty+other,games_routines,other,other,go potty,58492800,677,go potty,go potty,other,TRUE
163,stop,English (American),WS,stop+v,action_words,predicates,verbs,stop,58492800,677,stop,stop,v,TRUE
164,house,English (American),WS,house+n,places,other,other,house,58579200,678,house,house,n,TRUE
165,help,English (American),WS,help+v,action_words,predicates,verbs,help,58579200,678,help,help,v,TRUE
166,turtle,English (American),WS,turtle+n,animals,nouns,nouns,turtle,58665600,679,turtle,turtle,n,TRUE
167,ice,English (American),WS,ice+n,food_drink,nouns,nouns,ice,58665600,679,ice,ice,n,TRUE
168,orange (food),English (American),WS,orange+n,food_drink,nouns,nouns,orange (food),58665600,679,orange,orange,n,TRUE
169,play,English (American),WS,play+v,action_words,predicates,verbs,play,58665600,679,play,play,v,TRUE
170,chicken (animal),English (American),WS,chicken+n,animals,nouns,nouns,chicken (animal),58838400,681,chicken,chicken,n,TRUE
171,see,English (American),WS,see+v,action_words,predicates,verbs,see,58838400,681,see,see,v,TRUE
172,clock,English (American),WS,clock+n,household,nouns,nouns,clock,58924800,682,clock,clock,n,TRUE
173,sleep,English (American),WS,sleep+v,action_words,predicates,verbs,sleep,59011200,683,sleep,sleep,v,TRUE
174,lion,English (American),WS,lion+n,animals,nouns,nouns,lion,59097600,684,lion,lion,n,TRUE
175,french fries,English (American),WS,french fries+n,food_drink,nouns,nouns,french fries,59097600,684,french fries,french fries,n,TRUE
176,blue,English (American),WS,blue+a,descriptive_words,predicates,adjectives,blue,59097600,684,blue,blue,a,TRUE
177,leg,English (American),WS,leg+n,body_parts,nouns,nouns,leg,59184000,685,leg,leg,n,TRUE
178,sun,English (American),WS,sun+n,outside,nouns,nouns,sun,59184000,685,sun,sun,n,TRUE
179,love,English (American),WS,love+v,action_words,predicates,verbs,love,59270400,686,love,love,v,TRUE
180,swing (action),English (American),WS,swing+v,action_words,predicates,verbs,swing (action),59270400,686,swing,swing,v,TRUE
181,mouse,English (American),WS,mouse+n,animals,nouns,nouns,mouse,59356800,687,mouse,mouse,n,TRUE
182,slide (object),English (American),WS,slide+n,outside,nouns,nouns,slide (object),59356800,687,slide,slide,n,TRUE
183,jump,English (American),WS,jump+v,action_words,predicates,verbs,jump,59356800,687,jump,jump,v,TRUE
184,butterfly,English (American),WS,butterfly+n,animals,nouns,nouns,butterfly,59443200,688,butterfly,butterfly,n,TRUE
185,crayon,English (American),WS,crayon+n,toys,nouns,nouns,crayon,59443200,688,crayon,crayon,n,TRUE
186,towel,English (American),WS,towel+n,household,nouns,nouns,towel,59529600,689,towel,towel,n,TRUE
187,park,English (American),WS,park+n,places,other,other,park,59616000,690,park,park,n,TRUE
188,teddybear,English (American),WS,teddybear+n,animals,nouns,nouns,teddybear,59702400,691,teddybear,teddybear,n,TRUE
189,boy,English (American),WS,boy+n,people,other,other,boy,59961600,694,boy,boy,n,TRUE
190,cry,English (American),WS,cry+v,action_words,predicates,verbs,cry,59961600,694,cry,cry,v,TRUE
191,tickle,English (American),WS,tickle+v,action_words,predicates,verbs,tickle,59961600,694,tickle,tickle,v,TRUE
192,pajamas,English (American),WS,pajama+n,clothing,nouns,nouns,pajamas,60048000,695,pajamas,pajama,n,TRUE
193,tongue,English (American),WS,tongue+n,body_parts,nouns,nouns,tongue,60048000,695,tongue,tongue,n,TRUE
194,glasses,English (American),WS,glass+n,household,nouns,nouns,glasses,60048000,695,glasses,glass,n,TRUE
195,cheek,English (American),WS,cheek+n,body_parts,nouns,nouns,cheek,60220800,697,cheek,cheek,n,TRUE
196,money,English (American),WS,money+n,household,nouns,nouns,money,60220800,697,money,money,n,TRUE
197,dance,English (American),WS,dance+v,action_words,predicates,verbs,dance,60307200,698,dance,dance,v,TRUE
198,fall,English (American),WS,fall+v,action_words,predicates,verbs,fall,60307200,698,fall,fall,v,TRUE
199,toast,English (American),WS,toast+n,food_drink,nouns,nouns,toast,60393600,699,toast,toast,n,TRUE
200,grass,English (American),WS,grass+n,outside,nouns,nouns,grass,60393600,699,grass,grass,n,TRUE
201,sheep,English (American),WS,sheep+n,animals,nouns,nouns,sheep,60480000,700,sheep,sheep,n,TRUE
202,food,English (American),WS,food+n,food_drink,nouns,nouns,food,60480000,700,food,food,n,TRUE
203,broken,English (American),WS,broken+a,descriptive_words,predicates,adjectives,broken,60566400,701,broken,broken,a,TRUE
204,cheerios,English (American),WS,cheerio+n,food_drink,nouns,nouns,cheerios,60652800,702,cheerios,cheerio,n,TRUE
205,bathroom,English (American),WS,bathroom+n,furniture_rooms,nouns,nouns,bathroom,60652800,702,bathroom,bathroom,n,TRUE
206,table,English (American),WS,table+n,furniture_rooms,nouns,nouns,table,60739200,703,table,table,n,TRUE
207,pool,English (American),WS,pool+n,outside,nouns,nouns,pool,60739200,703,pool,pool,n,TRUE
208,yogurt,English (American),WS,yogurt+n,food_drink,nouns,nouns,yogurt,60912000,705,yogurt,yogurt,n,TRUE
209,school,English (American),WS,school+n,places,other,other,school,60912000,705,school,school,n,TRUE
210,bib,English (American),WS,bib+n,clothing,nouns,nouns,bib,60998400,706,bib,bib,n,TRUE
211,run,English (American),WS,run+v,action_words,predicates,verbs,run,60998400,706,run,run,v,TRUE
212,owl,English (American),WS,owl+n,animals,nouns,nouns,owl,61084800,707,owl,owl,n,TRUE
213,call (on phone),English (American),WS,call on phone+other,games_routines,other,other,call on phone,61084800,707,call on phone,call on phone,other,TRUE
214,clap,English (American),WS,clap+v,action_words,predicates,verbs,clap,61084800,707,clap,clap,v,TRUE
215,that,English (American),WS,that+r,pronouns,function_words,function_words,that,61084800,707,that,that,r,TRUE
216,face,English (American),WS,face+n,body_parts,nouns,nouns,face,61171200,708,face,face,n,TRUE
217,store,English (American),WS,store+n,places,other,other,store,61171200,708,store,store,n,TRUE
218,wash,English (American),WS,wash+v,action_words,predicates,verbs,wash,61171200,708,wash,wash,v,TRUE
219,carrots,English (American),WS,carrot+n,food_drink,nouns,nouns,carrots,61344000,710,carrots,carrot,n,TRUE
220,broom,English (American),WS,broom+n,household,nouns,nouns,broom,61344000,710,broom,broom,n,TRUE
221,clean (description),English (American),WS,clean+a,descriptive_words,predicates,adjectives,clean (description),61344000,710,clean,clean,a,TRUE
222,pen,English (American),WS,pen+n,toys,nouns,nouns,pen,61430400,711,pen,pen,n,TRUE
223,jacket,English (American),WS,jacket+n,clothing,nouns,nouns,jacket,61430400,711,jacket,jacket,n,TRUE
224,what,English (American),WS,what+r,question_words,function_words,function_words,what,61430400,711,what,what,r,TRUE
225,tiger,English (American),WS,tiger+n,animals,nouns,nouns,tiger,61516800,712,tiger,tiger,n,TRUE
226,look,English (American),WS,look+v,action_words,predicates,verbs,look,61516800,712,look,look,v,TRUE
227,good,English (American),WS,good+a,descriptive_words,predicates,adjectives,good,61516800,712,good,good,a,TRUE
228,inside/in,English (American),WS,in+r,locations,function_words,function_words,in,61516800,712,in,in,r,TRUE
229,chin,English (American),WS,chin+n,body_parts,nouns,nouns,chin,61603200,713,chin,chin,n,TRUE
230,noodles,English (American),WS,pasta+n,food_drink,nouns,nouns,pasta,61776000,715,pasta,pasta,n,TRUE
231,popcorn,English (American),WS,popcorn+n,food_drink,nouns,nouns,popcorn,61776000,715,popcorn,popcorn,n,TRUE
232,kitchen,English (American),WS,kitchen+n,furniture_rooms,nouns,nouns,kitchen,61776000,715,kitchen,kitchen,n,TRUE
233,work (place),English (American),WS,work+n,places,other,other,work (place),61776000,715,work,work,n,TRUE
234,get,English (American),WS,get+v,action_words,predicates,verbs,get,61776000,715,get,get,v,TRUE
235,I,English (American),WS,i+r,pronouns,function_words,function_words,i,61776000,715,i,i,r,TRUE
236,corn,English (American),WS,corn+n,food_drink,nouns,nouns,corn,61862400,716,corn,corn,n,TRUE
237,plate,English (American),WS,plate+n,household,nouns,nouns,plate,61862400,716,plate,plate,n,TRUE
238,shower,English (American),WS,shower+n,furniture_rooms,nouns,nouns,shower,61862400,716,shower,shower,n,TRUE
239,girl,English (American),WS,girl+n,people,other,other,girl,61862400,716,girl,girl,n,TRUE
240,snack,English (American),WS,snack+n,games_routines,other,other,snack,61862400,716,snack,snack,n,TRUE
241,blow,English (American),WS,blow+v,action_words,predicates,verbs,blow,61862400,716,blow,blow,v,TRUE
242,red,English (American),WS,red+a,descriptive_words,predicates,adjectives,red,61862400,716,red,red,a,TRUE
243,raisin,English (American),WS,raisin+n,food_drink,nouns,nouns,raisin,61948800,717,raisin,raisin,n,TRUE
244,you,English (American),WS,you+r,pronouns,function_words,function_words,you,61948800,717,you,you,r,TRUE
245,picture,English (American),WS,picture+n,household,nouns,nouns,picture,62035200,718,picture,picture,n,TRUE
246,clean (action),English (American),WS,clean+v,action_words,predicates,verbs,clean (action),62121600,719,clean,clean,v,TRUE
247,strawberry,English (American),WS,strawberry+n,food_drink,nouns,nouns,strawberry,62208000,720,strawberry,strawberry,n,TRUE
248,ride,English (American),WS,ride+v,action_words,predicates,verbs,ride,62294400,721,ride,ride,v,TRUE
249,breakfast,English (American),WS,breakfast+n,games_routines,other,other,breakfast,62380800,722,breakfast,breakfast,n,TRUE
250,happy,English (American),WS,happy+a,descriptive_words,predicates,adjectives,happy,62380800,722,happy,happy,a,TRUE
251,giraffe,English (American),WS,giraffe+n,animals,nouns,nouns,giraffe,62467200,723,giraffe,giraffe,n,TRUE
252,sky,English (American),WS,sky+n,outside,nouns,nouns,sky,62467200,723,sky,sky,n,TRUE
253,yellow,English (American),WS,yellow+a,descriptive_words,predicates,adjectives,yellow,62467200,723,yellow,yellow,a,TRUE
254,firetruck,English (American),WS,firetruck+n,vehicles,nouns,nouns,firetruck,62553600,724,firetruck,firetruck,n,TRUE
255,medicine,English (American),WS,medicine+n,household,nouns,nouns,medicine,62553600,724,medicine,medicine,n,TRUE
256,hungry,English (American),WS,hungry+a,descriptive_words,predicates,adjectives,hungry,62553600,724,hungry,hungry,a,TRUE
257,puzzle,English (American),WS,puzzle+n,toys,nouns,nouns,puzzle,62640000,725,puzzle,puzzle,n,TRUE
258,pancake,English (American),WS,pancake+n,food_drink,nouns,nouns,pancake,62640000,725,pancake,pancake,n,TRUE
259,animal,English (American),WS,animal+n,animals,nouns,nouns,animal,62726400,726,animal,animal,n,TRUE
260,potato chip,English (American),WS,chip+n,food_drink,nouns,nouns,chips,62726400,726,chips,chip,n,TRUE
261,slide (action),English (American),WS,slide+v,action_words,predicates,verbs,slide (action),62726400,726,slide,slide,v,TRUE
262,orange (description),English (American),WS,orange+a,descriptive_words,predicates,adjectives,orange (description),62726400,726,orange,orange,a,TRUE
263,spaghetti,English (American),WS,pasta+n,food_drink,nouns,nouns,pasta,62812800,727,pasta,pasta,n,TRUE
264,sweater,English (American),WS,sweater+n,clothing,nouns,nouns,sweater,62812800,727,sweater,sweater,n,TRUE
265,watch (object),English (American),WS,watch+n,household,nouns,nouns,watch (object),62812800,727,watch,watch,n,TRUE
