"wn_pos","word_type","child_entropy","child_count","adult_entropy","adult_count"
"n","tree+n",0.135809025134657,296,0.19406984453876,296
"n","tricycle+n",0,1,0,1
"n","truck+n",0.318149822724047,324,0.512448575464274,324
"n","tummy+n",1.26947575634982,107,1.20366823729925,107
"n","tuna+n",0,1,0,1
"n","turkey+n",0.845106415127478,52,1.00611558378215,52
"n","turtle+n",0,71,0,71
"n","tv+n",0.413816850303634,24,0.543564443199596,24
"n","underpants+n",0,1,0,1
"n","vacuum+n",1.45914791702725,6,0.650022421648354,6
"n","vitamin+n",0.863120568566631,7,0.591672778582327,7
"n","wake+n",0.996791631981637,15,0.836640741941167,15
"n","walk+n",1.95366719419389,101,1.65914143783599,101
"n","wash+n",0.827159519534053,73,1.18637990799375,73
"n","watch+n",1.63479424947584,84,1.92652796826049,84
"n","water+n",0.834357583777186,219,1.04062038887417,219
"n","white+n",1.08250687177828,91,1.62165800154143,91
"n","wind+n",0.286396957115956,20,0.847584679824574,20
"n","window+n",1.23544170250286,123,1.03616982500739,123
"n","wipe+n",1.40208140275603,17,1.52218987216582,17
"n","wolf+n",0,17,0,17
"n","work+n",2.07879251491531,67,2.27276453484657,67
"n","yard+n",0,4,0.811278124459133,4
"n","yellow+n",0.770766240142332,266,0.868195579077056,266
"n","yogurt+n",0,157,0.0556223658183102,157
"n","zebra+n",0,50,0.141440542541821,50
"n","zipper+n",0,7,0,7
"n","zoo+n",0,60,0,60
"r","all+r",0.515700930716797,251,0.690755607872666,251
"r","around+r",2.62395711931183,85,2.47543106396639,85
"r","asleep+r",0.868721246339405,100,0.868721246339405,100
"r","away+r",2.04104605975211,346,2.29841447219545,346
"r","back+r",1.72006146183595,170,1.98503877400572,170
"r","behind+r",0.863120568566631,14,1.77832835373141,14
"r","by+r",0.721928094887362,30,1.45279363084913,30
"r","cold+r",0,52,0,52
"r","down+r",1.05499537424417,410,1.1547375861571,410
"r","fast+r",0.825068770499889,46,0.64341490671068,46
"r","fine+r",1.33467914105159,13,1.41955629857161,13
"r","first+r",1.30303494834688,117,1.13505765102878,117
"r","hard+r",1.56305648552473,68,2.55016813218904,68
"r","here+r",1.17631299086629,456,1.50327967503998,456
"r","home+r",0.337290066617014,32,0.625262405223423,32
"r","in+r",0.572958071082347,383,0.706892212193172,383
"r","inside+r",1.06225185549214,69,0.971122692222999,69
"r","later+r",0.796364494697819,118,1.13079918215774,118
"r","long+r",1.72628809650696,47,1.69778953192993,47
"r","more+r",1.59733782020988,244,1.26336742099175,244
"r","now+r",1.71834073669173,418,1.74241661440875,418
"r","off+r",0.817410914864504,344,1.02455490929125,344
"r","on+r",1.96137349145869,384,2.026778753065,384
"r","out+r",1.5417451841797,375,1.7023287119626,375
"r","outside+r",0.0828440002543569,223,0.201316111033702,223
"r","over+r",1.4015578540125,349,1.75018931596605,349
"r","present+r",0,19,0,19
"r","pretty+r",1.48365916439796,17,1.08631284074129,17
"r","slow+r",1.23095956311401,30,0.650022421648354,30
"r","there+r",0.951893551558215,490,1.38345853799005,490
"r","too+r",0.681574060638581,321,0.772323911349615,321
"r","under+r",0.736915234009555,173,1.06899662027606,173
"r","up+r",1.50614329219475,406,1.40390751639625,406
"v","arm+v",0,19,0,19
"v","awake+v",0,2,1,2
"v","baby+v",0,6,0.918295834054489,6
"v","back+v",0,2,0,2
"v","balloon+v",0.863120568566631,7,0,7
"v","ball+v",0,9,1.35164411515339,9
"v","bat+v",0,1,0,1
"v","bear+v",0.353359335021421,15,0.836640741941167,15
"v","bicycle+v",0.721928094887362,10,0.721928094887362,10
"v","bite+v",1.47999982510329,106,1.61230232054876,106
"v","black+v",0,1,0,1
"v","blanket+v",0,7,0.591672778582327,7
"v","block+v",2,8,1.2987949406954,8
"v","blow+v",1.63863854732841,63,1.9752439786237,63
"v","boat+v",0,5,0,5
"v","boot+v",0.811278124459133,4,0.811278124459133,4
"v","bottle+v",0.918295834054489,3,0,3
"v","box+v",0,5,0,5
"v","break+v",1.84570264343049,140,2.65575336131334,140
"v","bring+v",1.4186832737479,156,1.68111144466375,156
"v","brown+v",0.650022421648354,6,0,6
"v","bubble+v",0,9,1.22439444540599,9
"v","bug+v",0,10,0.881290899230693,10
"v","build+v",0.670082082906182,159,0.89656904433155,159
"v","bump+v",0,69,0.297944574493272,69
"v","butter+v",0,4,0,4
"v","button+v",0.439496986921513,11,0.994030211476957,11
"v","buy+v",0.295237548798413,126,0.117594665658865,126
"v","cake+v",0,13,0,13
"v","carry+v",2.05245743392697,95,2.59171999860845,95
"v","catch+v",1.84815783780013,150,2.53714564009216,150
"v","chalk+v",0,4,0,4
"v","chase+v",0,4,1,4
"v","chip+v",0,12,0.413816850303634,12
"v","clap+v",0,3,0,3
"v","clean+v",2.13018841765395,68,2.4323816893795,68
"v","climb+v",1.34142626961734,88,1.34245900973772,88
"v","clock+v",0,1,0,1
"v","close+v",2.13757316233669,74,1.76157604157063,74
"v","clown+v",0,3,0.918295834054489,3
"v","coat+v",0,1,0,1
"v","comb+v",0,8,0,8
"v","cook+v",0.893661887599244,59,1.70351720139085,59
"v","cover+v",1.23890125660263,13,2.19968779473133,13
"v","crayon+v",0.543564443199596,16,0.896038232534557,16
"v","cry+v",0.24581537350429,88,1.0182469743536,88
"v","cup+v",1.5,4,0.811278124459133,4
"v","cut+v",2.63111739453491,190,2.71856641171603,190
"v","dance+v",0.745517842810828,33,0.195909270873605,33
"v","dirty+v",0.896038232534557,32,0.988699408288497,32
"v","dish+v",0,1,0,1
"v","doctor+v",0.650022421648354,6,0.918295834054489,6
"v","dog+v",0.904232600011563,31,0.981152234199913,31
"v","do+v",2.38286876677967,488,2.37409730908042,488
"v","draw+v",2.07788330344202,245,1.92676736967117,245
"v","dress+v",0.970950594454669,10,1.68547529722733,10
"v","drive+v",1.41851551111889,61,2.04263302858089,61
"v","drop+v",1.53332395099562,96,1.62451416080926,96
"v","dry+v",0.999655188919744,26,0.621904141629119,26
"v","dump+v",0,16,0.337290066617014,16
"v","eat+v",1.43218958477501,422,1.50229534569975,422
"v","empty+v",0.881290899230693,10,0.468995593589281,10
"v","eye+v",0.242292189082415,25,0.989587521222056,25
"v","face+v",0.591672778582327,7,1.66449777920046,7
"v","fall+v",1.59766155951956,88,2.42960209809977,88
"v","farm+v",0,5,0.721928094887362,5
"v","feed+v",0,17,1.44664795951028,17
"v","find+v",1.86478770922153,371,2.37223284178139,371
"v","fine+v",0,1,0,1
"v","finger+v",0.970950594454669,5,0.721928094887362,5
"v","finish+v",1.25140046679837,121,1.6880162245171,121
"v","fit+v",1.34021236981578,226,1.96212634350228,226
"v","fix+v",0.427363812657663,184,0.999122202831209,184
"v","flower+v",1.3844315043406,12,1.04085208297276,12
"v","fork+v",0,1,0,1
"v","game+v",0.970950594454669,5,0.721928094887362,5
"v","garden+v",0,1,0,1
"v","get+v",3.51453400224445,451,3.64212033024917,451
"v","give+v",3.07257794757904,257,3.53863603677916,257
"v","gloves+v",0,3,0,3
"v","glue+v",1.45949116019915,26,0.773228348524918,26
"v","goose+v",0,2,0,2
"v","go+v",2.81121010080046,488,3.30509547855702,488
"v","hammer+v",0,2,0,2
"v","hand+v",0.56082517699473,30,0.921833929153911,30
"v","hat+v",0,1,0,1
"v","have+v",2.68065829741851,408,2.95248876112336,408
"v","head+v",0,1,0,1
"v","hear+v",0.902854307724911,79,1.40626894761806,79
"v","help+v",0.390357997458405,181,0.80055309388834,181
"v","hide+v",1.41752943174567,62,1.19238632234056,62
"v","hit+v",1.94385510505075,98,2.05655982894283,98
"v","hold+v",1.07502138566401,149,1.74510341726565,149
"v","house+v",0.591672778582327,7,0,7
"v","hug+v",0.391243563629256,13,0.619382194678764,13
"v","hurry+v",0,1,0,1
"v","hurt+v",1.56348471920687,74,1.24109769338128,74
"v","ice+v",0.918295834054489,3,0.918295834054489,3
"v","juice+v",0,7,0,7
"v","jump+v",2.23956016321622,59,2.30601732135074,59
"v","key+v",0,2,0,2
"v","kick+v",0.954605696040348,90,1.06282998188073,90
"v","kiss+v",0.262311219614337,45,0.153742180328762,45
"v","knock+v",0.869747126569303,82,1.47597111795608,82
"v","lemme+v",0,2,0,2
"v","lick+v",1.44178612898218,36,1.09698806373818,36
"v","like+v",2.03381618151234,245,2.1544956479328,245
"v","listen+v",0.895486376086465,39,1.17912487647399,39
"v","long+v",0,1,0,1
"v","look+v",0.833912107765166,116,1.26454362943531,116
"v","love+v",0.522848880007119,71,1.22321930083593,71
"v","lunch+v",0,1,0,1
"v","make+v",4.07832430412129,427,4.25173937019721,427
"v","man+v",0,3,0.918295834054489,3
"v","meow+v",0,64,0,64
"v","milk+v",0.863120568566631,7,1.14883485428092,7
"v","mine+v",0.918295834054489,3,0.918295834054489,3
"v","moon+v",0,1,0,1
"v","moo+v",0.845350936622436,22,0.574635697837679,22
"v","nail+v",0,1,0,1
"v","need+v",1.2711314759089,393,1.34496735481461,393
"v","nose+v",0,2,0,2
"v","open+v",0.757010352024717,114,1.7994730016378,114
"v","paint+v",1.26467267939572,23,1.57941600778436,23
"v","pant+v",0.73188434306367,38,1.11274724869156,38
"v","park+v",1.43875868091501,20,0.811278124459133,20
"v","party+v",1,2,1,2
"v","peekaboo+v",0,4,0,4
"v","pen+v",0,1,0,1
"v","pick+v",1.96932503689595,169,1.92749898168809,169
"v","picnic+v",0,1,0,1
"v","picture+v",0.413816850303634,12,0.413816850303634,12
"v","pig+v",0,13,1.33467914105159,13
"v","plant+v",0,8,1.2987949406954,8
"v","play+v",1.87086975592922,166,2.24746112733964,166
"v","please+v",0,1,0,1
"v","pour+v",1.38750501610728,42,1.59908681103491,42
"v","present+v",0,5,1.37095059445467,5
"v","pretend+v",0.86306530231294,37,0.876075713624717,37
"v","pull+v",2.25634315343189,207,2.28703083287055,207
"v","push+v",0.718455010037621,109,1.28020240017179,109
"v","put+v",0.686239474069502,472,0.840683558216422,472
"v","puzzle+v",0,4,0.811278124459133,4
"v","rain+v",0,15,0,15
"v","read+v",1.70075941150175,382,1.66692119903707,382
"v","ride+v",1.92215035157916,46,2.15963244117333,46
"v","rip+v",0.210842300318532,30,0.210842300318532,30
"v","run+v",2.04599062346482,104,2.8114096186444,104
"v","sauce+v",0,1,0,1
"v","say+v",2.80113033901767,393,2.88288289576504,393
"v","see+v",2.99545336043524,424,2.69804516110845,424
"v","shake+v",0.946372935985442,14,1.75343438618879,14
"v","share+v",0.970950594454669,10,1.84643934467102,10
"v","shovel+v",0,1,0,1
"v","shower+v",0,2,0,2
"v","show+v",1.60783958430719,57,2.76730161045465,57
"v","sing+v",1.70387055982748,160,1.66121554287639,160
"v","sink+v",0,1,0,1
"v","sit+v",1.19234750483015,377,1.37683690671389,377
"v","skate+v",0,2,0,2
"v","sleep+v",0.459442075553796,93,0.671141216105348,93
"v","slide+v",0.863120568566631,7,1.84237099317711,7
"v","slow+v",0,1,0,1
"v","smile+v",0,3,0,3
"v","snack+v",0,1,0,1
"v","snow+v",0,1,0,1
"v","sock+v",0.222284830685688,28,1.0949143184121,28
"v","spill+v",1.66574967716386,58,1.91673003174368,58
"v","splash+v",0.811278124459133,4,0,4
"v","spoon+v",0,6,0.918295834054489,6
"v","stand+v",0.945903763189604,130,1.19685672968774,130
"v","star+v",0,4,0.811278124459133,4
"v","stick+v",2.17518880958753,203,2.79826143935849,203
"v","stone+v",0,1,0,1
"v","stop+v",2.65042123772752,88,2.60244912259429,88
"v","sun+v",0.811278124459133,4,0,4
"v","sweep+v",1,4,0,4
"v","swim+v",0.979868756651153,12,0.811278124459133,12
"v","swing+v",1.57154167182192,18,2.19161164175138,18
"v","table+v",1,2,0,2
"v","take+v",2.60318998749646,368,3.32320177666879,368
"v","talk+v",1.85665321278093,22,1.74917466839001,22
"v","tape+v",0,8,1.40563906222957,8
"v","taste+v",1.3663146570364,16,1.50524081494415,16
"v","tear+v",0.961236604722876,13,1.52623490994952,13
"v","telephone+v",0,1,0,1
"v","think+v",2.57762588297617,444,2.61567754120161,444
"v","throw+v",1.64961247112152,142,2.18014368567206,142
"v","tickle+v",0.965527262266083,31,0.547553154980007,31
"v","time+v",0.914182838435214,18,1.13496997460394,18
"v","toast+v",0,3,0,3
"v","toe+v",0,12,0,12
"v","touch+v",1.09242266831668,49,1.56152743967413,49
"v","towel+v",0.811278124459133,4,1.5,4
"v","train+v",0,10,1.37095059445467,10
"v","trash+v",0,1,0,1
"v","truck+v",0.991264260535429,13,1.46048468131311,13
"v","try+v",1.65531963864804,243,1.4699702458766,243
"v","vacuum+v",0,3,0,3
"v","wait+v",1.33203673304798,98,1.45872026195488,98
"v","wake+v",0.599910876387222,89,0.981133728111072,89
"v","walk+v",0.696212260125146,32,1.40725353403975,32
"v","wanna+v",0.193642804683899,67,0,67
"v","wash+v",1.68762259000656,103,2.15391434965878,103
"v","watch+v",1.72538099645055,104,2.12787610179878,104
"v","water+v",0.970950594454669,10,1.52192809488736,10
"v","wet+v",1.58496250072116,3,1.58496250072116,3
"v","wind+v",0.455020659779464,27,1.29320193706748,27
"v","wipe+v",0.74959525725948,42,0.650022421648354,42
"v","work+v",2.6986885704511,25,3.18760131151206,25
"v","write+v",1.75979741585096,67,1.83513371634225,67
"v","zipper+v",0.970950594454669,5,0.970950594454669,5
